x,y,r (pixel),is_circle,r (um)
768,588,82,yes,82
94,316,72,yes,72
382,338,82,yes,82
234,598,58,yes,58
332,492,86,yes,86
462,574,73,yes,73
70,452,70,yes,70
616,330,64,yes,64
224,170,48,yes,48
572,456,65,yes,65
334,194,61,yes,61
502,354,52,yes,52
672,132,53,yes,53
444,152,50,yes,50
238,286,65,yes,65
110,574,68,no,68
628,666,74,yes,74
314,482,94,no,94
56,106,50,yes,50
784,130,59,yes,59
378,72,52,yes,52
558,136,59,yes,59
184,396,54,yes,54
692,422,54,yes,54
724,322,44,yes,44
122,186,57,yes,57
506,246,58,yes,58
480,56,46,yes,46
288,94,46,yes,46
212,38,44,yes,44
804,384,53,yes,53
346,608,49,yes,49
452,446,52,yes,52
132,582,68,no,68
606,224,44,yes,44
554,470,92,no,92
450,556,83,no,83
746,584,99,no,99
664,514,42,yes,42
618,30,63,yes,63
702,230,53,yes,53
224,268,80,no,80
824,260,75,yes,75
722,46,46,yes,46
206,496,49,yes,49
352,208,83,no,83
280,376,39,yes,39
768,464,34,yes,34
572,558,39,yes,39
248,304,91,no,91
100,296,70,no,70
216,292,86,no,86
362,346,90,no,90
576,148,80,no,80
342,472,82,no,82
320,178,77,no,77
72,306,88,no,88
150,94,41,yes,41
362,322,88,no,88
476,558,87,no,87
598,342,81,no,81
314,204,76,no,76
386,318,80,no,80
88,466,87,no,87
538,144,80,no,80
766,140,78,no,78
216,582,70,no,70
496,268,80,no,80
326,616,68,no,68
216,606,77,no,77
482,348,76,no,76
634,340,80,no,80
682,238,62,no,62
342,172,73,no,73
428,166,75,no,75
68,88,62,no,62
126,208,74,no,74
420,230,33,yes,33
478,250,56,no,56
370,54,48,no,48
394,58,58,no,58
814,24,49,yes,49
52,444,50,no,50
672,416,47,no,47
678,438,38,no,38
186,488,33,no,33
778,570,62,no,62
308,4,40,yes,40
610,300,37,no,37
342,630,34,no,34
190,376,39,no,39
