x,y,r (pixel),is_circle,r (um)
696,44,37,yes,37
434,410,40,yes,40
510,144,40,yes,40
486,606,48,yes,48
484,224,30,yes,30
302,46,39,yes,39
402,608,33,yes,33
288,446,58,no,58
382,472,42,yes,42
308,542,46,yes,46
306,454,47,yes,47
300,164,34,yes,34
188,178,33,yes,33
164,310,47,no,47
250,316,42,yes,42
36,154,36,yes,36
204,32,32,yes,32
128,374,31,yes,31
104,274,42,yes,42
246,546,43,no,43
90,102,40,yes,40
256,650,34,no,34
86,202,34,yes,34
184,436,37,no,37
42,306,24,yes,24
294,222,28,yes,28
224,536,32,yes,32
146,52,37,no,37
184,352,25,yes,25
192,494,29,yes,29
202,234,27,yes,27
236,436,31,yes,31
268,382,35,yes,35
246,488,28,yes,28
412,118,16,yes,16
138,208,25,yes,25
60,482,32,no,32
38,588,19,yes,19
114,438,37,no,37
62,350,28,yes,28
338,598,23,yes,23
292,622,27,no,27
124,320,20,yes,20
346,140,19,yes,19
380,544,25,yes,25
160,126,27,yes,27
216,386,20,yes,20
802,156,13,yes,13
74,34,19,yes,19
146,480,24,yes,24
194,576,18,yes,18
232,262,18,yes,18
170,390,20,yes,20
