x,y,r (pixel),is_circle,r (um)
454,388,160,no,160
746,228,129,yes,129
88,306,154,yes,154
732,494,111,yes,111
496,6,167,yes,167
422,368,196,no,196
450,366,181,yes,181
200,596,136,yes,136
474,392,219,no,219
434,404,186,no,186
492,400,240,no,240
108,306,122,no,122
486,422,214,no,214
416,418,242,no,242
472,362,191,no,191
424,346,211,no,211
420,438,220,no,220
704,488,138,no,138
456,414,193,no,193
704,512,159,no,159
466,330,249,no,249
294,162,80,yes,80
170,598,178,no,178
212,616,184,no,184
78,332,182,no,182
198,572,116,no,116
490,370,174,no,174
418,388,186,no,186
134,296,134,no,134
772,230,176,no,176
718,248,145,no,145
446,340,131,no,131
744,478,106,no,106
424,326,228,no,228
722,206,179,no,179
762,206,156,no,156
754,522,166,no,166
106,284,109,no,109
60,280,193,no,193
108,342,191,no,191
398,436,225,no,225
762,254,182,no,182
742,204,109,no,109
394,356,226,no,226
130,340,163,no,163
142,316,148,no,148
714,466,98,no,98
726,226,130,no,130
704,266,166,no,166
180,618,163,no,163
418,462,223,no,223
514,406,215,no,215
782,172,171,no,171
794,234,164,no,164
782,206,147,no,147
220,582,127,no,127
280,176,114,no,114
70,350,202,no,202
724,516,111,no,111
308,176,96,no,96
768,480,137,no,137
312,132,95,no,95
706,228,139,no,139
60,306,183,no,183
446,320,112,no,112
322,160,94,no,94
742,248,110,no,110
744,184,138,no,138
116,264,106,no,106
244,618,170,no,170
760,460,128,no,128
488,334,160,no,160
234,598,148,no,148
758,498,124,no,124
294,140,89,no,89
200,548,110,no,110
788,480,148,no,148
88,268,115,no,115
780,504,148,no,148
480,314,121,no,121
740,458,115,no,115
144,240,110,no,110
720,176,95,no,95
518,366,98,no,98
276,152,59,no,59
770,272,80,no,80
86,244,72,no,72
708,538,62,no,62
700,288,75,no,75
404,324,93,no,93
256,602,93,no,93
158,342,77,no,77
680,522,54,no,54
752,542,63,no,63
782,460,51,no,51
736,160,64,no,64
800,160,43,no,43
