x,y,r (pixel),is_circle,r (um)
324,420,111,yes,111
666,462,125,yes,125
206,220,93,yes,93
142,524,77,yes,77
260,454,194,no,194
738,174,152,yes,152
420,80,104,yes,104
520,258,98,yes,98
484,566,96,yes,96
306,452,232,no,232
758,178,174,no,174
292,434,156,no,156
682,478,147,no,147
626,512,188,no,188
498,408,66,yes,66
334,402,132,no,132
304,416,127,no,127
324,464,220,no,220
754,156,154,no,154
16,302,85,yes,85
150,368,55,yes,55
676,444,147,no,147
88,50,89,yes,89
372,476,206,no,206
314,620,76,yes,76
196,238,130,no,130
638,486,161,no,161
612,486,159,no,159
648,454,130,no,130
230,202,101,no,101
692,428,170,no,170
648,508,174,no,174
698,406,154,no,154
622,438,176,no,176
356,398,132,no,132
280,184,158,no,158
724,630,62,yes,62
370,236,57,yes,57
728,144,121,no,121
696,448,113,no,113
468,580,105,no,105
534,242,105,no,105
364,444,180,no,180
512,284,123,no,123
718,168,132,no,132
502,544,99,no,99
388,458,177,no,177
708,190,150,no,150
240,234,149,no,149
242,186,117,no,117
662,488,176,no,176
222,178,124,no,124
732,194,133,no,133
182,214,118,no,118
778,188,195,no,195
688,498,144,no,144
162,526,116,no,116
174,506,90,no,90
562,224,152,no,152
624,462,184,no,184
544,268,105,no,105
252,256,172,no,172
350,428,121,no,121
330,632,112,no,112
722,414,158,no,158
386,396,153,no,153
122,516,107,no,107
168,478,148,no,148
252,214,127,no,127
272,404,161,no,161
330,440,127,no,127
506,574,120,no,120
410,450,161,no,161
496,224,137,no,137
344,380,116,no,116
276,204,154,no,154
568,246,118,no,118
464,560,105,no,105
286,386,159,no,159
712,462,136,no,136
148,498,103,no,103
520,554,98,no,98
406,62,125,no,125
440,62,112,no,112
292,616,100,no,100
542,540,129,no,129
724,214,160,no,160
748,130,129,no,129
216,238,108,no,108
332,600,87,no,87
590,18,66,yes,66
724,444,135,no,135
528,300,128,no,128
208,196,114,no,114
314,388,106,no,106
524,224,103,no,103
166,352,66,no,66
642,296,46,yes,46
716,486,122,no,122
210,264,138,no,138
194,500,111,no,111
124,536,100,no,100
56,176,45,yes,45
268,242,143,no,143
200,524,115,no,115
6,446,60,yes,60
260,172,137,no,137
546,208,125,no,125
384,208,77,no,77
512,526,111,no,111
396,108,127,no,127
448,82,120,no,120
506,242,117,no,117
398,224,99,no,99
432,98,102,no,102
464,388,95,no,95
512,384,83,no,83
182,534,105,no,105
482,540,98,no,98
796,140,174,no,174
568,274,93,no,93
470,74,136,no,136
384,374,121,no,121
396,246,83,no,83
704,214,78,no,78
104,62,70,no,70
122,44,103,no,103
658,432,94,no,94
514,420,73,no,73
40,162,65,no,65
534,388,87,no,87
732,468,105,no,105
188,352,85,no,85
462,100,100,no,100
150,544,67,no,67
714,232,123,no,123
364,370,94,no,94
804,464,39,yes,39
172,330,84,no,84
352,628,99,no,99
694,232,58,no,58
766,118,116,no,116
352,224,78,no,78
444,328,41,no,41
396,86,83,no,83
330,154,36,yes,36
850,362,70,no,70
176,248,53,no,53
444,554,71,no,71
34,292,64,no,64
752,504,83,no,83
32,440,70,no,70
144,342,63,no,63
426,320,45,no,45
386,66,65,no,65
66,158,54,no,54
136,382,48,no,48
754,210,96,no,96
688,182,78,no,78
486,388,44,no,44
482,282,53,no,53
498,124,35,no,35
164,224,50,no,50
284,470,48,no,48
474,332,25,no,25
360,122,34,no,34
296,638,54,no,54
346,456,67,no,67
350,246,46,no,46
628,310,26,no,26
350,476,49,no,49
588,540,32,no,32
306,150,29,no,29
