x,y,r (pixel),is_circle,r (um)
548,298,68,yes,68
198,248,57,yes,57
594,432,66,yes,66
722,450,65,yes,65
416,162,61,yes,61
722,574,52,yes,52
678,328,68,yes,68
466,398,66,yes,66
264,324,47,yes,47
596,184,47,yes,47
624,546,55,yes,55
216,128,61,yes,61
114,170,46,yes,46
518,504,40,yes,40
782,264,58,yes,58
322,90,52,yes,52
304,206,58,yes,58
524,130,46,yes,46
426,276,52,yes,52
666,126,42,yes,42
806,604,42,yes,42
696,446,81,no,81
376,350,37,yes,37
716,48,45,yes,45
602,44,75,yes,75
706,206,40,yes,40
192,122,87,no,87
576,422,86,no,86
92,74,44,yes,44
744,124,37,yes,37
612,446,94,no,94
250,22,47,yes,47
822,512,58,yes,58
406,184,84,no,84
846,382,74,yes,74
330,68,68,no,68
540,316,84,no,84
500,206,35,yes,35
678,350,86,no,86
340,284,39,yes,39
36,134,38,yes,38
652,316,77,no,77
410,262,66,no,66
566,286,80,no,80
568,440,83,no,83
756,668,40,yes,40
478,380,74,no,74
640,530,63,no,63
288,194,59,no,59
586,452,43,no,43
710,470,44,no,44
792,68,34,yes,34
770,178,29,yes,29
850,154,64,yes,64
200,144,47,no,47
456,28,67,yes,67
578,54,49,no,49
392,156,53,no,53
822,366,60,no,60
738,562,33,no,33
292,222,36,no,36
