x,y,r (pixel),is_circle,r (um)
554,190,112,yes,112
368,112,84,yes,84
366,294,94,yes,94
750,532,85,yes,85
666,378,95,yes,95
530,516,100,yes,100
746,222,78,yes,78
360,464,81,yes,81
220,190,81,yes,81
208,386,88,yes,88
226,32,74,yes,74
668,54,65,yes,65
80,500,78,yes,78
500,8,76,yes,76
574,182,124,no,124
348,600,58,yes,58
786,86,59,yes,59
538,202,132,no,132
562,210,135,no,135
388,292,114,no,114
354,96,108,no,108
548,168,134,no,134
558,508,126,no,126
670,358,115,no,115
382,130,102,no,102
684,386,117,no,117
388,460,108,no,108
384,100,95,no,95
106,500,104,no,104
124,638,67,no,67
58,282,95,no,95
30,102,87,yes,87
344,450,56,no,56
750,512,68,no,68
688,48,45,no,45
