x,y,r (pixel),is_circle,r (um)
472,394,76,yes,76
732,146,56,yes,56
294,588,78,yes,78
364,92,80,yes,80
520,176,84,yes,84
620,482,74,yes,74
108,564,66,yes,66
216,140,65,yes,65
780,542,90,yes,90
224,476,60,yes,60
202,620,45,yes,45
460,560,94,no,94
598,498,99,no,99
428,270,50,yes,50
510,578,46,yes,46
336,432,60,yes,60
134,290,34,yes,34
110,96,45,yes,45
536,288,40,yes,40
788,220,40,yes,40
486,558,76,no,76
344,508,45,yes,45
490,404,96,no,96
598,588,41,yes,41
376,340,35,yes,35
492,534,77,no,77
208,336,70,no,70
110,432,70,yes,70
212,252,46,yes,46
244,464,68,no,68
764,56,37,yes,37
194,352,45,yes,45
512,496,35,yes,35
96,448,90,no,90
118,676,48,yes,48
132,552,80,no,80
374,194,33,yes,33
234,118,92,no,92
86,578,91,no,91
570,70,30,yes,30
652,644,47,yes,47
732,428,46,no,46
642,168,36,yes,36
426,496,46,no,46
392,574,44,yes,44
36,286,58,yes,58
94,344,29,yes,29
654,64,35,yes,35
266,400,29,yes,29
844,312,59,yes,59
346,274,33,yes,33
614,108,27,yes,27
308,564,46,yes,46
120,144,16,yes,16
678,632,52,no,52
446,416,47,no,47
318,442,42,no,42
192,268,32,no,32
550,428,22,yes,22
318,350,17,yes,17
368,454,41,no,41
506,552,33,no,33
40,198,34,no,34
582,384,25,no,25
