x,y,r (pixel),is_circle,r (um)
486,504,62,yes,62
540,170,88,yes,88
216,200,74,yes,74
80,152,57,yes,57
758,164,67,yes,67
720,364,75,yes,75
578,396,60,yes,60
436,388,58,yes,58
290,44,68,yes,68
680,248,42,yes,42
364,608,75,no,75
540,620,49,yes,49
326,260,53,yes,53
812,562,48,yes,48
850,284,77,yes,77
104,458,70,yes,70
332,156,38,yes,38
670,50,65,no,65
404,92,56,yes,56
356,470,56,yes,56
564,172,121,no,121
722,636,52,yes,52
258,318,38,yes,38
176,562,42,yes,42
590,286,41,yes,41
596,502,38,yes,38
340,364,53,no,53
634,582,40,yes,40
406,202,50,yes,50
162,72,45,yes,45
660,448,35,yes,35
714,524,46,yes,46
58,350,35,yes,35
96,276,53,yes,53
278,424,34,yes,34
738,356,82,no,82
204,388,36,yes,36
284,518,35,yes,35
540,150,93,no,93
64,628,65,yes,65
60,24,57,yes,57
188,216,108,no,108
844,438,66,yes,66
502,522,97,no,97
504,318,40,yes,40
78,614,67,no,67
778,144,95,no,95
652,170,39,yes,39
422,78,76,no,76
442,286,37,yes,37
132,350,29,yes,29
178,302,37,yes,37
352,626,95,yes,95
220,452,24,yes,24
360,362,74,no,74
106,434,95,no,95
510,14,72,yes,72
746,450,26,yes,26
222,648,38,no,38
246,570,23,yes,23
760,252,42,no,42
452,376,57,no,57
216,180,60,no,60
650,310,20,yes,20
272,56,65,no,65
672,28,76,no,76
652,502,17,yes,17
624,674,40,yes,40
222,514,24,yes,24
376,304,21,yes,21
186,492,18,yes,18
234,218,50,no,50
12,422,27,yes,27
778,494,22,yes,22
360,450,36,no,36
472,234,25,yes,25
134,434,58,no,58
654,36,57,no,57
106,258,32,no,32
744,182,44,no,44
514,250,21,yes,21
