x,y,r (pixel),is_circle,r (um)
688,418,75,yes,75
598,176,70,yes,70
766,600,83,no,83
84,374,47,yes,47
394,178,93,no,93
726,206,62,yes,62
580,160,84,no,84
222,146,78,no,78
148,82,78,no,78
480,512,99,no,99
136,60,54,yes,54
692,302,48,yes,48
584,198,97,no,97
304,268,70,no,70
708,422,83,no,83
238,178,43,yes,43
276,258,72,no,72
370,562,60,no,60
328,598,80,no,80
310,90,68,no,68
606,154,93,no,93
408,150,60,no,60
252,248,85,no,85
104,350,84,no,84
284,278,69,no,69
654,64,54,yes,54
220,532,52,no,52
796,106,51,yes,51
468,532,42,yes,42
162,256,87,no,87
664,418,80,no,80
110,198,49,yes,49
492,374,78,no,78
164,554,55,no,55
454,306,43,yes,43
298,614,70,no,70
62,520,50,no,50
248,450,48,yes,48
338,366,84,no,84
682,72,72,no,72
582,300,66,no,66
186,274,58,no,58
636,500,58,no,58
546,566,50,yes,50
118,624,60,no,60
722,514,50,no,50
224,448,77,no,77
470,380,44,yes,44
484,296,77,no,77
286,86,60,no,60
512,44,58,yes,58
484,642,53,yes,53
308,632,52,yes,52
382,148,54,no,54
72,128,45,no,45
380,246,42,yes,42
154,334,32,yes,32
308,244,73,no,73
88,518,66,no,66
636,626,61,no,61
144,540,48,no,48
160,58,85,no,85
734,546,68,no,68
162,410,38,yes,38
506,184,36,yes,36
88,616,66,no,66
270,366,72,no,72
448,516,66,no,66
42,608,41,yes,41
484,120,34,yes,34
94,214,65,no,65
328,546,62,no,62
124,542,58,no,58
220,166,55,no,55
356,454,54,no,54
606,296,46,yes,46
102,284,38,yes,38
300,364,56,no,56
324,444,50,no,50
166,470,54,no,54
220,348,48,no,48
182,124,33,yes,33
62,346,67,no,67
252,158,61,no,61
42,446,40,yes,40
318,380,60,no,60
200,636,46,no,46
590,374,44,yes,44
756,582,50,no,50
20,202,49,no,49
422,82,46,no,46
804,402,44,yes,44
528,328,33,yes,33
450,384,56,no,56
596,438,53,no,53
714,120,31,yes,31
190,236,53,no,53
348,560,50,no,50
452,228,34,yes,34
458,638,77,no,77
780,90,63,no,63
404,328,55,no,55
768,286,29,yes,29
322,68,60,no,60
242,538,46,no,46
176,628,46,no,46
176,490,37,yes,37
506,254,32,yes,32
720,406,72,no,72
744,510,56,no,56
586,278,48,no,48
464,284,66,no,66
292,498,46,no,46
128,136,28,yes,28
800,230,28,yes,28
614,502,46,yes,46
518,396,44,no,44
86,270,48,no,48
226,80,39,no,39
62,368,56,no,56
46,308,45,no,45
400,490,48,no,48
196,576,37,no,37
430,440,30,yes,30
118,602,40,no,40
330,192,36,yes,36
98,432,33,no,33
94,576,25,yes,25
52,590,48,no,48
740,44,39,no,39
138,560,33,yes,33
168,174,29,no,29
322,648,56,no,56
310,506,44,no,44
336,136,28,no,28
232,424,52,no,52
300,534,50,no,50
402,228,49,no,49
780,570,46,no,46
366,386,22,yes,22
176,330,43,no,43
236,594,37,no,37
720,302,54,no,54
384,336,39,yes,39
572,444,33,yes,33
318,150,31,yes,31
354,536,47,no,47
488,170,43,no,43
236,510,42,no,42
412,384,24,yes,24
60,496,43,no,43
506,470,34,no,34
778,400,60,no,60
352,202,46,no,46
302,58,41,no,41
416,476,36,no,36
298,140,34,no,34
368,96,23,yes,23
116,56,56,no,56
650,40,39,no,39
562,492,34,no,34
582,82,24,yes,24
704,624,38,no,38
806,318,36,no,36
288,642,42,no,42
754,334,25,yes,25
538,110,23,yes,23
274,558,34,no,34
254,110,30,no,30
654,244,28,yes,28
804,478,35,yes,35
254,606,33,yes,33
288,176,23,no,23
100,178,38,no,38
440,94,31,no,31
122,482,28,no,28
718,586,27,no,27
432,352,19,yes,19
60,148,34,no,34
688,568,30,no,30
90,458,27,no,27
796,524,33,no,33
350,498,23,yes,23
696,490,29,no,29
134,464,24,no,24
448,166,24,no,24
312,26,23,yes,23
530,36,40,no,40
154,598,24,no,24
74,542,33,no,33
492,422,23,no,23
628,288,33,no,33
450,466,22,yes,22
392,416,19,yes,19
270,318,18,yes,18
642,338,18,yes,18
524,436,23,yes,23
402,290,19,yes,19
416,426,17,yes,17
738,484,36,no,36
92,394,32,no,32
200,552,23,no,23
538,386,30,no,30
652,548,28,no,28
438,202,27,no,27
408,638,25,no,25
278,110,15,no,15
