x,y,r (pixel),is_circle,r (um)
598,370,70,yes,70
708,196,49,yes,49
616,100,37,yes,37
788,42,65,yes,65
402,514,47,yes,47
418,90,47,yes,47
646,268,46,yes,46
792,150,46,yes,46
466,442,39,yes,39
250,270,56,yes,56
730,426,55,yes,55
386,426,43,yes,43
392,332,52,yes,52
306,532,53,yes,53
356,238,51,yes,51
118,348,44,yes,44
182,86,63,yes,63
134,550,53,yes,53
78,236,50,yes,50
696,104,44,yes,44
554,256,60,yes,60
242,168,45,yes,45
494,524,43,yes,43
204,352,40,yes,40
700,336,42,yes,42
332,140,51,yes,51
544,616,61,yes,61
248,436,36,yes,36
100,474,25,yes,25
708,538,63,yes,63
538,132,48,yes,48
604,484,50,yes,50
66,424,64,no,64
436,186,46,yes,46
156,636,39,yes,39
276,66,41,yes,41
158,436,57,yes,57
846,420,68,yes,68
318,516,52,no,52
618,356,67,no,67
218,508,40,yes,40
490,338,46,yes,46
620,184,48,yes,48
456,174,54,no,54
656,16,48,yes,48
346,52,35,yes,35
236,586,39,yes,39
564,608,82,no,82
536,456,35,yes,35
446,594,45,yes,45
508,328,52,no,52
68,618,46,yes,46
112,152,41,yes,41
304,358,49,yes,49
768,352,30,yes,30
784,272,46,yes,46
72,92,33,yes,33
424,502,55,no,55
822,638,46,yes,46
488,64,27,yes,27
400,408,65,no,65
620,558,35,yes,35
148,210,27,yes,27
418,318,63,no,63
170,622,43,no,43
160,274,38,yes,38
570,54,33,yes,33
300,194,23,yes,23
360,616,46,yes,46
730,622,37,yes,37
790,474,33,yes,33
516,510,53,no,53
148,532,52,no,52
88,606,46,no,46
520,392,35,no,35
66,158,34,no,34
748,416,53,no,53
52,408,43,no,43
204,68,66,no,66
662,628,45,no,45
180,156,23,yes,23
440,380,24,yes,24
52,656,29,no,29
718,324,48,no,48
316,452,37,no,37
822,326,22,yes,22
108,280,16,yes,16
