x,y,r (pixel),is_circle,r (um)
532,588,50,yes,50
694,208,50,yes,50
512,50,44,yes,44
544,280,52,yes,52
622,430,46,yes,46
704,488,51,yes,51
204,270,47,yes,47
796,240,50,yes,50
470,192,49,yes,49
350,46,43,yes,43
614,152,41,yes,41
536,128,33,yes,33
240,604,52,yes,52
338,558,46,yes,46
472,444,40,yes,40
418,102,40,yes,40
190,448,36,yes,36
756,50,35,yes,35
380,244,36,yes,36
94,452,50,yes,50
260,396,51,yes,51
288,228,46,yes,46
640,294,45,yes,45
152,532,47,yes,47
448,280,43,yes,43
668,88,44,yes,44
274,68,38,yes,38
194,112,32,yes,32
336,412,29,yes,29
698,366,46,yes,46
548,408,30,yes,30
722,580,41,yes,41
634,594,38,yes,38
394,472,36,yes,36
796,578,33,yes,33
404,626,44,yes,44
334,126,39,yes,39
110,250,41,yes,41
792,460,32,yes,32
490,360,48,yes,48
322,638,32,yes,32
402,400,41,yes,41
266,524,31,yes,31
746,418,28,yes,28
160,182,43,yes,43
84,132,44,yes,44
90,580,30,yes,30
746,126,40,yes,40
152,368,54,yes,54
838,150,53,yes,53
380,306,29,yes,29
134,58,48,yes,48
740,648,34,yes,34
514,496,31,yes,31
392,174,31,yes,31
808,380,41,yes,41
588,352,36,yes,36
720,290,34,yes,34
552,194,29,yes,29
84,316,34,yes,34
608,226,31,yes,31
564,466,28,yes,28
280,312,41,yes,41
82,378,27,yes,27
32,260,38,yes,38
434,30,34,yes,34
338,352,28,yes,28
62,650,43,yes,43
618,512,41,yes,41
584,84,31,yes,31
808,310,23,yes,23
694,4,37,yes,37
32,354,28,yes,28
456,574,27,yes,27
490,428,56,no,56
258,148,34,yes,34
248,470,28,yes,28
474,640,26,yes,26
38,406,24,yes,24
316,472,37,yes,37
64,200,24,yes,24
848,56,42,yes,42
154,612,36,yes,36
760,330,24,yes,24
226,334,22,yes,22
454,512,31,yes,31
596,642,30,yes,30
174,540,69,no,69
172,368,66,no,66
614,20,38,yes,38
228,200,28,yes,28
476,120,22,yes,22
428,334,26,yes,26
60,66,26,yes,26
336,274,22,yes,22
410,548,25,yes,25
772,524,28,yes,28
80,518,30,yes,30
672,534,21,yes,21
564,284,59,no,59
26,570,39,yes,39
336,184,20,yes,20
666,662,38,yes,38
20,488,33,yes,33
308,232,29,no,29
