index,x,y,r (pixel),is_circle,r (um)
133,832,402,377,no,377
132,810,400,357,no,357
131,836,364,348,no,348
130,784,344,342,no,342
129,490,668,339,no,339
128,822,346,338,no,338
127,822,264,334,no,334
126,798,384,321,no,321
125,802,322,321,no,321
124,778,318,317,no,317
123,464,644,314,no,314
122,766,386,297,no,297
121,846,290,290,no,290
120,748,340,282,no,282
119,764,304,271,no,271
118,320,672,267,no,267
117,304,656,262,no,262
116,298,684,252,no,252
115,848,250,249,no,249
114,794,482,241,no,241
113,414,614,241,no,241
112,814,498,240,no,240
111,268,684,239,no,239
110,824,448,235,no,235
109,824,236,233,no,233
108,396,596,232,no,232
107,816,372,231,no,231
106,282,668,230,no,230
105,838,462,221,no,221
104,798,216,215,no,215
103,780,208,207,no,207
102,412,656,179,no,179
101,402,40,177,no,177
100,2,194,174,no,174
99,396,70,174,no,174
98,376,60,170,no,170
97,464,14,168,no,168
96,850,224,167,no,167
95,420,74,142,no,142
94,200,28,138,no,138
93,174,34,133,no,133
92,846,174,131,no,131
91,2,448,130,no,130
90,24,436,126,no,126
89,88,640,124,no,124
88,166,16,124,no,124
87,378,26,122,no,122
86,838,516,121,no,121
85,852,148,113,no,113
84,32,494,112,no,112
83,226,18,111,no,111
82,672,666,110,no,110
81,272,638,110,no,110
80,54,438,109,no,109
79,198,58,109,no,109
78,20,464,106,no,106
77,292,640,106,no,106
76,404,20,106,yes,106
75,658,490,106,yes,106
74,52,296,104,no,104
73,840,200,104,yes,104
70,698,674,101,no,101
72,4,476,101,no,101
71,16,504,101,no,101
69,50,134,98,no,98
68,26,160,95,no,95
67,418,52,91,no,91
66,832,546,90,no,90
65,718,668,90,yes,90
64,218,50,90,no,90
63,292,616,88,yes,88
62,186,10,87,no,87
61,48,114,84,no,84
60,822,214,84,no,84
59,48,464,82,no,82
58,38,178,82,no,82
57,426,24,82,no,82
56,60,480,81,no,81
55,128,604,79,yes,79
54,294,466,72,yes,72
53,534,636,70,no,70
52,632,16,70,no,70
51,54,162,68,yes,68
50,706,648,68,no,68
49,754,6,67,no,67
48,760,26,64,yes,64
47,652,6,54,no,54
46,300,446,54,no,54
45,524,592,54,yes,54
44,268,342,54,yes,54
43,318,154,53,yes,53
42,248,10,50,no,50
41,786,18,48,no,48
40,652,28,48,no,48
39,476,402,47,yes,47
38,842,58,44,no,44
37,498,134,43,no,43
36,26,650,42,yes,42
35,452,224,42,yes,42
31,580,98,40,yes,40
32,558,410,40,yes,40
34,2,326,40,no,40
33,188,126,40,yes,40
30,222,542,39,no,39
29,64,42,39,no,39
28,528,344,38,no,38
27,262,130,37,no,37
26,718,266,34,no,34
25,624,336,34,yes,34
24,542,366,33,no,33
23,64,66,33,yes,33
22,602,366,31,no,31
21,556,6,30,yes,30
18,802,86,29,yes,29
20,830,40,29,no,29
19,238,134,29,no,29
17,500,404,27,no,27
16,548,208,26,yes,26
15,16,24,25,yes,25
14,606,610,24,yes,24
13,704,292,24,yes,24
12,576,616,22,no,22
11,496,260,22,yes,22
10,526,310,22,no,22
9,170,314,22,yes,22
8,410,250,21,yes,21
7,674,96,21,yes,21
6,20,542,21,yes,21
5,482,312,20,yes,20
4,568,342,19,no,19
3,92,338,18,yes,18
2,330,212,17,no,17
1,178,242,16,yes,16
0,724,106,14,yes,14
