x,y,r (pixel),is_circle,r (um)
368,140,98,yes,98
226,272,60,yes,60
796,140,122,yes,122
666,300,87,yes,87
720,494,90,yes,90
510,476,97,yes,97
298,500,92,yes,92
652,314,108,no,108
568,124,92,yes,92
350,152,100,yes,100
490,294,74,yes,74
144,400,77,yes,77
204,146,53,yes,53
688,300,107,no,107
420,628,76,yes,76
830,128,137,no,137
334,166,121,no,121
372,118,118,no,118
698,504,93,no,93
150,548,62,yes,62
312,174,144,no,144
772,638,63,yes,63
540,152,121,no,121
742,498,112,no,112
388,136,119,no,119
604,602,55,yes,55
548,496,159,no,159
560,148,113,no,113
166,394,99,no,99
498,494,105,no,105
122,22,90,yes,90
534,480,120,no,120
580,142,112,no,112
368,268,43,yes,43
468,300,92,no,92
494,464,77,no,77
690,456,116,no,116
514,290,97,no,97
814,364,63,yes,63
556,364,34,yes,34
620,406,36,yes,36
532,132,114,no,114
206,294,90,no,90
132,416,77,no,77
400,634,76,no,76
302,480,94,no,94
334,342,77,yes,77
206,272,73,no,73
596,128,98,no,98
558,104,69,no,69
276,508,94,no,94
640,294,92,no,92
76,232,88,yes,88
400,384,54,yes,54
318,498,72,no,72
388,364,65,no,65
62,640,51,no,51
276,6,46,yes,46
788,462,20,yes,20
108,40,67,no,67
66,214,88,no,88
462,190,33,yes,33
660,278,68,no,68
158,422,78,no,78
766,192,13,yes,13
406,610,54,no,54
314,530,58,no,58
400,104,67,no,67
346,554,14,yes,14
