x,y,r (pixel),is_circle,r (um)
334,274,343,no,343
308,288,314,no,314
298,250,301,no,301
352,282,362,no,362
318,262,323,yes,323
288,282,318,no,318
308,318,283,no,283
336,254,277,no,277
362,254,253,no,253
376,294,390,no,390
312,342,340,no,340
328,320,319,no,319
268,278,336,no,336
354,322,321,no,321
326,296,300,no,300
292,304,302,no,302
336,342,342,no,342
248,290,350,no,350
272,330,354,no,354
342,230,285,no,285
320,242,361,no,361
236,266,370,no,370
322,204,399,no,399
276,250,324,no,324
256,250,336,no,336
246,222,360,no,360
388,324,360,no,360
362,342,341,no,341
224,286,372,no,372
412,342,341,no,341
396,302,412,no,412
268,230,340,no,340
266,298,329,no,329
192,280,404,no,404
296,208,392,no,392
244,186,389,no,389
244,316,368,no,368
172,248,436,no,436
214,266,392,no,392
206,194,408,no,408
232,168,404,no,404
380,270,232,no,232
256,204,367,no,367
376,236,234,no,234
310,186,415,no,415
288,232,282,no,282
346,302,301,no,301
282,194,410,no,410
212,318,394,no,394
226,246,390,no,390
408,322,356,no,356
392,204,203,no,203
356,214,263,no,263
580,566,118,no,118
196,342,418,no,418
198,302,402,no,402
402,256,239,no,239
400,360,327,no,327
292,330,283,no,283
384,346,323,no,323
544,616,118,yes,118
424,358,356,no,356
168,270,414,no,414
236,342,386,no,386
224,208,385,no,385
264,178,373,no,373
588,606,163,no,163
168,320,432,no,432
566,610,142,no,142
308,226,309,no,309
444,252,250,no,250
414,236,198,no,198
250,156,398,no,398
396,280,214,no,214
418,272,197,no,197
534,586,111,no,111
556,590,93,no,93
372,196,194,no,194
396,226,213,no,213
432,290,179,no,179
404,180,178,no,178
424,202,177,no,177
342,190,309,no,309
542,562,99,no,99
540,210,181,no,181
320,362,239,no,239
516,618,140,no,140
440,220,168,no,168
424,252,215,no,215
578,586,113,no,113
850,386,189,no,189
414,152,151,no,151
298,384,217,no,217
424,310,181,no,181
54,668,153,no,153
586,626,132,no,132
444,180,146,no,146
34,670,163,no,163
378,174,173,no,173
598,578,107,no,107
850,354,173,no,173
382,150,148,no,148
460,224,148,no,148
450,200,144,no,144
552,540,81,no,81
782,478,206,no,206
430,332,167,no,167
830,356,157,no,157
840,424,194,no,194
694,154,105,no,105
676,168,87,no,87
736,458,136,no,136
418,128,126,no,126
552,640,117,no,117
486,192,114,no,114
600,552,92,no,92
204,164,174,no,174
452,142,117,no,117
508,566,77,no,77
620,440,72,no,72
468,348,126,no,126
356,176,198,no,198
658,248,54,no,54
218,356,204,no,204
470,240,142,no,142
648,120,89,no,89
608,64,62,no,62
784,508,163,no,163
52,640,129,no,129
486,222,123,no,123
624,108,74,no,74
610,630,53,no,53
190,362,175,no,175
198,218,197,no,197
440,124,110,no,110
504,206,98,no,98
810,352,126,no,126
578,520,49,no,49
422,378,126,no,126
502,394,77,no,77
574,540,62,no,62
486,130,83,no,83
514,594,60,no,60
598,40,39,no,39
520,240,93,no,93
490,616,66,no,66
524,196,73,no,73
484,100,66,no,66
604,124,46,no,46
