x,y,r (pixel),is_circle,r (um)
364,398,174,yes,262.74
632,246,139,yes,209.89000000000001
342,390,170,no,256.7
634,508,126,yes,190.26
342,420,196,no,295.96
94,390,102,yes,154.02
8,168,122,yes,184.22
622,228,117,no,176.67
378,374,170,no,256.7
606,240,139,no,209.89000000000001
324,130,81,yes,122.31
670,222,164,no,247.64000000000001
674,244,168,no,253.68
634,532,156,no,235.56
560,232,196,no,295.96
370,354,171,no,258.21
352,362,142,no,214.42
108,364,107,no,161.57
384,396,171,no,258.21
634,486,133,no,200.83
716,30,95,yes,143.45
580,256,180,no,271.8
660,498,139,no,209.89000000000001
84,412,131,no,197.81
190,234,72,yes,108.72
654,248,160,no,241.6
374,416,155,no,234.05
600,218,149,no,224.99
660,204,163,no,246.13
320,390,191,no,288.41
608,268,170,no,256.7
608,484,161,no,243.11
616,522,151,no,228.01
394,364,183,no,276.33
646,228,139,no,209.89000000000001
404,386,191,no,288.41
594,510,163,no,246.13
630,268,158,no,238.58
676,266,182,no,274.82
206,498,64,yes,96.64
642,196,172,no,259.72
690,502,169,no,255.19
692,216,186,no,280.86
654,270,170,no,256.7
22,608,116,yes,175.16
304,120,95,no,143.45
500,22,121,yes,182.71
546,248,191,no,288.41
344,120,110,no,166.1
178,56,81,yes,122.31
652,474,161,no,243.11
712,10,116,no,175.16
270,652,110,yes,166.1
594,196,157,no,237.07
594,282,191,no,288.41
584,236,151,no,228.01
662,454,165,no,249.15
120,394,120,no,181.2
78,378,111,no,167.61
624,464,106,no,160.06
686,474,186,no,280.86
166,218,100,no,151.0
596,462,171,no,258.21
624,208,122,no,184.22
318,152,79,no,119.29
674,524,160,no,241.6
104,408,124,no,187.24
186,208,73,no,110.23
286,130,124,no,187.24
208,224,91,no,137.41
292,102,107,no,161.57
696,22,104,no,157.04
356,142,114,no,172.14000000000001
84,358,104,no,157.04
150,204,96,no,144.96
654,178,143,no,215.93
480,16,106,no,160.06
580,488,152,no,229.52
520,34,98,no,147.98
124,350,96,no,144.96
338,154,72,no,108.72
392,344,112,no,169.12
166,34,83,no,125.33
58,406,141,no,212.91
308,88,85,no,128.35
192,36,90,no,135.9
850,364,112,yes,169.12
718,56,64,no,96.64
130,370,84,no,126.84
302,166,57,no,86.07000000000001
658,538,87,no,131.37
736,32,84,no,126.84
184,76,60,no,90.6
598,532,83,no,125.33
168,244,59,no,89.09
194,516,28,no,42.28
704,484,82,no,123.82000000000001
616,554,78,no,117.78
204,68,55,no,83.05
50,612,106,no,160.06
678,192,68,no,102.68
68,426,61,no,92.11
156,336,60,no,90.6
264,124,66,no,99.66
94,436,73,no,110.23
134,324,60,no,90.6
696,54,56,no,84.56
198,480,36,no,54.36
