x,y,r (pixel),is_circle,r (um)
434,188,53,yes,156.35000000000002
718,276,36,yes,106.2
698,194,40,yes,118.0
752,338,36,yes,106.2
590,94,38,yes,112.1
106,388,66,no,194.7
662,128,36,yes,106.2
172,550,38,yes,112.1
772,496,27,yes,79.65
718,82,39,yes,115.05
78,504,71,no,209.45
818,332,31,yes,91.45
232,310,40,yes,118.0
300,306,30,yes,88.5
82,146,37,yes,109.15
790,20,33,yes,97.35
166,298,30,yes,88.5
454,618,41,yes,120.95
170,464,48,no,141.60000000000002
126,384,42,yes,123.9
204,406,36,yes,106.2
340,108,30,yes,88.5
278,374,42,yes,123.9
100,308,38,yes,112.1
328,602,51,yes,150.45000000000002
530,350,46,yes,135.70000000000002
738,548,38,yes,112.1
584,242,29,yes,85.55000000000001
536,278,30,yes,88.5
76,484,53,no,156.35000000000002
424,350,34,yes,100.3
168,616,29,yes,85.55000000000001
36,270,41,yes,120.95
488,462,40,yes,118.0
758,434,38,yes,112.1
642,280,39,yes,115.05
124,224,46,no,135.70000000000002
614,392,43,yes,126.85
392,640,31,yes,91.45
690,480,38,no,112.1
228,66,32,yes,94.4
186,348,27,yes,79.65
652,440,26,yes,76.7
650,62,28,yes,82.60000000000001
394,576,37,yes,109.15
544,192,36,yes,106.2
260,446,30,yes,88.5
454,550,26,yes,76.7
314,482,38,yes,112.1
196,248,34,yes,100.3
226,504,31,yes,91.45
466,394,29,yes,85.55000000000001
276,32,28,yes,82.60000000000001
618,494,48,no,141.60000000000002
586,616,48,no,141.60000000000002
662,540,34,yes,100.3
472,106,30,yes,88.5
150,456,44,no,129.8
546,546,41,no,120.95
332,532,35,no,103.25
62,206,31,yes,91.45
272,530,31,yes,91.45
182,98,27,yes,79.65
430,438,24,yes,70.80000000000001
112,580,39,no,115.05
368,446,38,no,112.1
700,610,36,no,106.2
272,252,31,yes,91.45
760,224,30,yes,88.5
500,236,28,yes,82.60000000000001
506,522,25,yes,73.75
434,294,25,yes,73.75
544,488,24,yes,70.80000000000001
742,138,27,yes,79.65
284,102,27,yes,79.65
564,440,31,yes,91.45
468,46,28,yes,82.60000000000001
674,398,24,yes,70.80000000000001
194,186,41,yes,120.95
614,560,26,yes,76.7
42,330,35,no,103.25
530,124,29,yes,85.55000000000001
788,90,39,yes,115.05
28,102,34,yes,100.3
106,366,50,no,147.5
58,38,27,yes,79.65
520,410,22,yes,64.9
558,42,24,yes,70.80000000000001
472,344,22,yes,64.9
378,386,27,yes,79.65
414,496,37,yes,109.15
352,170,31,yes,91.45
498,568,28,yes,82.60000000000001
320,424,25,yes,73.75
378,294,29,yes,85.55000000000001
106,40,27,yes,79.65
782,278,34,yes,100.3
716,376,29,yes,85.55000000000001
390,130,18,yes,53.1
118,656,32,yes,94.4
76,422,24,yes,70.80000000000001
340,344,30,yes,88.5
120,436,21,yes,61.95
528,612,27,yes,79.65
254,612,26,yes,76.7
554,656,23,yes,67.85000000000001
608,34,19,yes,56.05
766,602,30,yes,88.5
156,480,28,no,82.60000000000001
458,258,22,yes,64.9
812,228,24,yes,70.80000000000001
364,496,18,yes,53.1
114,532,26,no,76.7
212,600,17,yes,50.150000000000006
672,344,31,no,91.45
118,244,33,no,97.35
236,212,19,yes,56.05
