x,y,r (pixel),is_circle,r (um)
532,156,89,yes,69.42
194,270,85,yes,66.3
578,454,159,no,124.02000000000001
598,344,130,no,101.4
210,570,113,no,88.14
614,356,62,yes,48.36
350,124,57,yes,44.46
330,292,56,yes,43.68
344,426,86,yes,67.08
344,394,115,no,89.7
158,428,80,yes,62.400000000000006
320,404,104,no,81.12
178,426,120,no,93.60000000000001
232,274,114,no,88.92
216,246,116,no,90.48
382,460,144,no,112.32000000000001
220,588,92,no,71.76
668,588,96,no,74.88
316,452,122,no,95.16
618,332,107,no,83.46000000000001
636,324,101,no,78.78
526,282,52,yes,40.56
550,136,120,no,93.60000000000001
180,236,117,no,91.26
508,394,55,yes,42.9
640,354,92,no,71.76
180,400,109,no,85.02
368,428,74,no,57.72
322,266,83,no,64.74000000000001
214,266,90,no,70.2
506,144,100,no,78.0
202,72,115,no,89.7
190,588,95,no,74.10000000000001
352,156,82,no,63.96
348,276,80,no,62.400000000000006
476,160,133,no,103.74000000000001
744,266,37,yes,28.86
680,436,74,no,57.72
580,484,61,yes,47.58
466,488,51,yes,39.78
206,292,107,no,83.46000000000001
434,322,54,yes,42.120000000000005
296,212,34,yes,26.52
480,384,83,no,64.74000000000001
320,134,78,no,60.84
140,420,89,no,69.42
206,608,69,yes,53.82
228,608,76,no,59.28
418,216,67,no,52.260000000000005
40,72,54,yes,42.120000000000005
524,134,69,no,53.82
348,448,81,no,63.18
668,248,39,yes,30.42
558,156,122,no,95.16
366,376,87,no,67.86
436,296,76,no,59.28
172,278,90,no,70.2
626,376,85,no,66.3
324,430,85,no,66.3
372,406,85,no,66.3
530,380,85,no,66.3
412,308,75,no,58.5
78,178,60,no,46.800000000000004
238,254,100,no,78.0
518,262,65,no,50.7
308,552,52,yes,40.56
646,582,96,no,74.88
352,104,44,no,34.32
626,306,65,no,50.7
160,390,86,no,67.08
104,172,66,no,51.480000000000004
542,296,69,no,53.82
444,576,65,no,50.7
762,252,75,no,58.5
100,310,58,no,45.24
422,576,55,yes,42.9
544,566,40,yes,31.200000000000003
258,360,38,yes,29.64
326,160,54,no,42.120000000000005
186,214,86,no,67.08
216,222,73,no,56.940000000000005
196,250,58,no,45.24
814,348,46,yes,35.88
242,592,82,no,63.96
696,364,29,yes,22.62
408,198,38,no,29.64
368,240,49,no,38.22
324,540,46,no,35.88
746,332,30,yes,23.400000000000002
242,490,31,no,24.18
690,308,30,yes,23.400000000000002
368,84,52,no,40.56
688,234,34,no,26.52
602,260,29,yes,22.62
32,368,48,no,37.44
600,306,50,no,39.0
330,100,43,no,33.54
538,266,35,no,27.3
720,214,27,yes,21.060000000000002
252,508,43,no,33.54
652,270,34,no,26.52
412,174,39,no,30.42
444,24,45,no,35.1
382,114,28,no,21.84
84,156,35,no,27.3
