x,y,r (pixel),is_circle,r (um)
580,434,86,yes,86
552,192,80,no,80
724,406,62,yes,62
790,272,82,yes,82
142,178,79,yes,79
646,86,62,yes,62
748,544,84,no,84
654,306,63,yes,63
572,202,121,no,121
154,204,108,no,108
222,460,121,no,121
720,556,115,no,115
210,158,121,no,121
170,224,116,no,116
754,114,55,yes,55
610,434,117,no,117
350,258,67,yes,67
512,206,121,no,121
464,334,64,yes,64
436,460,61,yes,61
200,452,81,yes,81
288,136,73,yes,73
350,382,60,yes,60
254,552,113,no,113
598,460,117,no,117
370,518,111,no,111
252,410,113,no,113
534,218,111,no,111
316,574,71,no,71
296,528,96,no,96
632,402,121,no,121
330,556,96,no,96
100,544,89,no,89
558,226,113,no,113
228,436,111,no,111
190,590,94,no,94
128,130,126,no,126
254,332,52,yes,52
456,496,101,no,101
184,436,99,no,99
406,144,61,yes,61
528,184,123,no,123
482,594,89,no,89
330,260,90,no,90
120,358,116,no,116
266,122,103,no,103
122,184,99,no,99
508,574,70,yes,70
558,440,86,no,86
628,558,53,yes,53
570,182,95,no,95
676,192,57,yes,57
730,522,103,no,103
40,388,94,no,94
768,546,69,no,69
158,58,46,yes,46
172,414,116,no,116
180,174,81,no,81
200,472,99,no,99
62,86,47,yes,47
542,238,129,no,129
414,468,84,no,84
72,380,66,no,66
142,590,101,no,101
308,142,94,no,94
376,378,86,no,86
162,154,84,no,84
434,492,92,no,92
90,350,89,no,89
452,354,89,no,89
496,352,86,no,86
676,314,76,no,76
86,518,60,yes,60
532,586,96,no,96
502,550,91,no,91
92,370,90,no,90
372,260,86,no,86
450,320,85,no,85
204,426,92,no,92
540,568,71,no,71
294,564,73,no,73
588,222,126,no,126
308,464,40,yes,40
250,432,91,no,91
246,308,76,no,76
22,246,61,yes,61
356,546,84,no,84
776,526,81,no,81
426,152,76,no,76
342,230,78,no,78
350,362,72,no,72
218,582,66,no,66
612,410,100,no,100
380,126,89,no,89
456,470,84,no,84
550,172,82,no,82
532,24,68,no,68
180,570,73,no,73
670,282,80,no,80
330,370,79,no,79
84,628,56,yes,56
656,68,74,no,74
516,612,90,no,90
724,658,39,no,39
714,422,83,no,83
154,300,52,yes,52
310,120,68,no,68
422,434,85,no,85
242,234,48,yes,48
588,416,80,no,80
696,192,54,no,54
738,390,70,no,70
248,14,57,yes,57
562,420,94,no,94
376,236,68,no,68
634,306,62,no,62
784,250,103,no,103
316,600,80,no,80
486,332,66,no,66
298,390,80,no,80
110,518,76,no,76
774,112,58,no,58
210,560,70,no,70
806,260,73,no,73
128,158,72,no,72
400,122,70,no,70
706,396,70,no,70
650,548,60,no,60
340,400,67,no,67
256,662,37,no,37
510,10,96,no,96
156,620,63,no,63
626,94,63,no,63
754,580,77,no,77
366,28,64,yes,64
476,352,44,no,44
408,552,37,yes,37
70,502,63,no,63
386,44,42,no,42
54,362,63,no,63
162,184,61,no,61
842,640,60,yes,60
364,484,51,no,51
548,312,46,no,46
646,284,56,no,56
220,282,50,no,50
386,628,54,no,54
794,296,57,no,57
310,292,48,no,48
644,574,34,no,34
50,160,32,yes,32
536,46,52,no,52
76,418,46,no,46
204,604,42,no,42
40,264,39,no,39
656,190,56,no,56
136,50,50,no,50
42,564,27,yes,27
396,654,30,no,30
692,68,44,no,44
94,406,30,no,30
76,226,39,no,39
92,648,33,no,33
168,320,30,no,30
432,614,21,no,21
620,464,44,no,44
284,316,23,no,23
566,398,48,no,48
642,112,43,no,43
222,484,34,no,34
398,364,43,no,43
288,270,32,no,32
258,354,29,no,29
632,72,44,no,44
582,472,43,no,43
288,158,39,no,39
136,472,35,no,35
220,262,35,no,35
484,106,28,yes,28
58,402,45,no,45
54,532,40,no,40
124,610,36,no,36
332,450,23,no,23
184,286,21,no,21
282,214,28,no,28
184,142,27,no,27
374,600,32,no,32
362,402,31,no,31
480,534,31,no,31
382,442,21,no,21
502,312,38,no,38
286,412,36,no,36
32,366,30,no,30
172,552,28,no,28
672,84,37,no,37
