x,y,r (pixel),is_circle,r (um)
774,116,64,yes,64
116,294,71,yes,71
372,84,46,yes,46
254,194,46,yes,46
146,100,47,yes,47
184,590,56,yes,56
70,182,52,yes,52
722,404,75,yes,75
216,564,97,no,97
740,254,66,yes,66
66,518,47,yes,47
732,520,56,yes,56
670,70,40,yes,40
212,424,51,yes,51
278,506,44,yes,44
348,188,46,yes,46
582,196,41,yes,41
62,412,53,yes,53
282,290,40,yes,40
418,294,42,yes,42
392,640,49,yes,49
668,160,42,yes,42
504,156,31,yes,31
540,500,40,yes,40
230,112,38,yes,38
214,332,46,yes,46
436,376,49,yes,49
350,350,46,yes,46
490,224,32,yes,32
164,186,34,yes,34
594,114,37,yes,37
48,600,48,yes,48
424,218,32,yes,32
498,444,30,yes,30
442,548,62,yes,62
118,270,70,no,70
158,18,36,yes,36
234,32,33,yes,33
276,592,29,yes,29
298,430,34,yes,34
144,380,36,yes,36
438,36,32,yes,32
430,456,43,yes,43
272,366,36,yes,36
546,324,43,yes,43
370,428,40,yes,40
368,502,36,yes,36
720,262,84,no,84
340,572,38,yes,38
420,154,34,yes,34
466,92,37,yes,37
592,404,35,yes,35
352,264,33,yes,33
140,462,32,yes,32
610,274,32,yes,32
542,264,31,yes,31
650,598,41,yes,41
524,378,42,yes,42
210,266,30,yes,30
304,138,23,yes,23
508,58,19,yes,19
660,316,29,yes,29
4,102,51,yes,51
578,598,43,no,43
798,328,41,no,41
192,550,58,no,58
312,20,33,yes,33
588,346,40,no,40
722,240,70,no,70
816,196,34,yes,34
268,524,46,no,46
502,304,40,no,40
790,438,30,no,30
642,522,32,yes,32
628,462,28,yes,28
140,524,24,yes,24
648,232,28,yes,28
524,586,33,yes,33
194,500,25,yes,25
724,612,46,yes,46
570,22,43,no,43
538,654,33,no,33
2,466,29,yes,29
464,182,19,yes,19
