x,y,r (pixel),is_circle,r (um)
490,366,192,yes,192
150,46,226,yes,226
494,344,189,no,189
472,346,237,no,237
512,366,193,no,193
46,556,242,yes,242
134,30,246,no,246
524,434,262,no,262
462,372,228,no,228
456,324,264,no,264
536,388,228,no,228
442,374,234,no,234
512,336,189,no,189
440,296,295,no,295
450,344,258,no,258
472,306,254,no,254
474,390,218,no,218
530,414,244,no,244
496,388,209,no,209
430,316,290,no,290
510,310,222,no,222
528,298,297,no,297
460,272,271,no,271
446,422,261,no,261
494,410,276,no,276
426,340,281,no,281
544,366,280,no,280
564,376,249,no,249
454,398,240,no,240
66,558,223,no,223
474,430,253,no,253
530,352,215,no,215
526,322,214,no,214
410,406,277,no,277
422,360,250,no,250
504,428,259,no,259
424,388,258,no,258
412,326,281,no,281
552,424,260,no,260
518,398,233,no,233
482,324,192,no,192
530,454,264,no,264
156,68,204,no,204
590,404,280,no,280
566,352,264,no,264
28,572,253,no,253
560,396,252,no,252
508,290,220,no,220
508,456,284,no,284
154,24,248,no,248
474,410,233,no,233
570,412,271,no,271
552,448,284,no,284
432,406,266,no,266
552,334,244,no,244
170,50,206,no,206
586,376,264,no,264
58,534,218,no,218
544,310,233,no,233
504,264,262,no,262
578,328,261,no,261
16,550,272,no,272
532,278,243,no,243
488,280,240,no,240
94,512,176,no,176
10,586,276,no,276
66,500,185,no,185
194,62,179,no,179
88,560,200,no,200
78,526,198,no,198
164,88,184,no,184
852,222,144,no,144
852,180,158,no,158
444,442,184,no,184
424,434,166,no,166
402,370,104,no,104
132,58,242,no,242
560,24,98,no,98
832,198,121,no,121
834,166,106,no,106
86,490,170,no,170
556,292,128,no,128
590,20,96,no,96
414,292,92,no,92
110,536,176,no,176
400,350,104,no,104
440,262,92,no,92
568,436,106,no,106
188,128,127,no,127
412,266,78,no,78
382,382,83,no,83
538,22,82,no,82
450,242,81,no,81
540,248,85,no,85
388,406,67,no,67
386,334,80,no,80
544,470,76,no,76
