x,y,r (pixel),is_circle,r (um)
478,124,82,yes,82
612,310,156,yes,156
328,284,155,no,155
314,300,135,yes,135
584,292,290,no,290
588,566,106,yes,106
446,452,76,yes,76
306,40,127,yes,127
638,324,172,no,172
142,224,43,yes,43
758,446,64,yes,64
588,360,209,no,209
320,204,203,no,203
340,266,176,no,176
564,296,294,no,294
602,242,241,no,241
482,104,103,no,103
660,342,202,no,202
610,566,119,no,119
298,60,107,no,107
740,604,66,yes,66
620,284,129,no,129
356,204,240,no,240
578,322,184,no,184
306,320,157,no,157
314,242,209,no,209
458,124,97,no,97
654,26,132,yes,132
284,76,86,no,86
300,284,150,no,150
42,136,88,yes,88
604,544,134,no,134
166,144,37,yes,37
504,108,111,no,111
644,292,181,no,181
738,462,89,no,89
316,268,164,no,164
542,340,224,no,224
442,426,103,no,103
482,146,97,no,97
250,576,149,yes,149
572,530,161,no,161
332,308,138,no,138
342,332,168,no,168
184,120,67,no,67
654,312,137,no,137
822,142,121,no,121
302,216,118,no,118
468,444,98,no,98
62,156,78,no,78
282,546,111,no,111
680,318,88,no,88
68,132,63,no,63
208,70,29,no,29
14,572,77,yes,77
260,124,15,yes,15
100,72,26,yes,26
294,94,74,no,74
582,268,106,no,106
738,582,74,no,74
140,94,23,yes,23
498,132,52,no,52
82,388,122,yes,122
160,214,64,no,64
174,86,51,no,51
160,458,48,no,48
