x,y,r (pixel),is_circle,r (um)
448,364,43,yes,43
396,530,40,yes,40
112,564,45,yes,45
58,492,40,yes,40
562,412,38,yes,38
84,160,43,no,43
134,278,39,yes,39
76,384,34,yes,34
608,536,35,yes,35
244,236,34,yes,34
168,622,49,no,49
368,436,39,yes,39
620,460,40,yes,40
240,430,34,yes,34
448,202,37,yes,37
224,508,35,yes,35
32,438,32,yes,32
164,330,29,yes,29
690,392,35,yes,35
506,328,32,yes,32
772,320,29,yes,29
502,238,29,yes,29
46,552,28,yes,28
560,246,35,yes,35
818,78,35,yes,35
176,558,34,yes,34
284,148,35,no,35
388,46,32,no,32
610,210,29,yes,29
804,354,29,no,29
732,596,35,yes,35
750,380,32,yes,32
514,154,29,yes,29
212,298,27,yes,27
294,400,25,yes,25
344,86,38,no,38
644,656,33,yes,33
354,578,29,yes,29
470,284,25,yes,25
792,508,26,yes,26
534,104,25,yes,25
200,100,24,yes,24
32,306,35,yes,35
674,60,28,yes,28
580,332,22,yes,22
124,494,29,yes,29
552,556,28,yes,28
110,332,27,yes,27
300,450,27,yes,27
144,34,22,yes,22
776,618,24,yes,24
580,650,23,yes,23
538,204,22,yes,22
290,588,33,yes,33
646,294,25,yes,25
124,90,24,no,24
400,246,24,yes,24
50,24,23,yes,23
82,234,27,yes,27
412,622,27,yes,27
816,314,25,yes,25
548,310,18,yes,18
346,650,29,no,29
174,482,26,yes,26
372,350,24,yes,24
582,170,23,yes,23
652,170,22,yes,22
718,160,24,no,24
316,358,25,yes,25
776,562,24,yes,24
166,134,22,yes,22
764,132,27,yes,27
410,166,22,no,22
260,638,27,yes,27
212,48,25,yes,25
580,288,24,no,24
432,74,23,yes,23
756,470,20,yes,20
88,30,27,yes,27
334,168,17,yes,17
456,594,17,yes,17
714,120,20,yes,20
506,12,33,yes,33
700,194,18,yes,18
310,642,17,yes,17
604,60,18,yes,18
