x,y,r (pixel),is_circle,r (um)
250,458,149,yes,149
620,344,278,yes,278
654,338,264,no,264
640,310,294,no,294
594,336,287,no,287
300,480,204,no,204
618,320,299,no,299
648,366,288,no,288
98,186,157,yes,157
628,364,296,no,296
206,448,170,no,170
106,204,139,no,139
316,492,192,no,192
230,458,154,no,154
278,472,182,no,182
244,484,157,no,157
274,444,175,no,175
136,184,183,no,183
250,436,169,no,169
284,502,182,no,182
212,398,207,no,207
228,438,149,no,149
292,430,198,no,198
328,134,96,yes,96
228,412,199,no,199
294,456,205,no,205
142,228,156,no,156
122,218,156,no,156
346,118,84,no,84
100,238,166,no,166
86,222,162,no,162
664,314,285,no,285
86,170,177,no,177
314,116,115,no,115
314,446,212,no,212
76,190,156,no,156
118,172,116,no,116
204,420,185,no,185
186,430,185,no,185
228,496,167,no,167
272,422,104,no,104
166,178,184,no,184
64,216,184,no,184
258,502,177,no,177
178,154,157,no,157
448,636,130,yes,130
150,134,157,no,157
636,280,253,no,253
166,208,149,no,149
120,146,144,no,144
92,148,195,no,195
162,228,166,no,166
212,476,156,no,156
138,154,153,no,153
264,254,57,yes,57
72,148,203,no,203
122,240,144,no,144
144,208,140,no,140
254,412,113,no,113
596,396,234,no,234
154,250,155,no,155
336,154,68,no,68
184,242,128,no,128
578,424,197,no,197
356,140,80,no,80
686,292,209,no,209
388,146,118,no,118
312,166,84,no,84
488,118,58,no,58
284,406,83,no,83
280,268,62,no,62
354,166,82,no,82
240,392,118,no,118
108,128,127,no,127
230,366,96,no,96
150,278,131,no,131
128,306,94,no,94
288,238,40,no,40
116,282,112,no,112
202,514,128,no,128
2,428,102,no,102
416,608,62,no,62
388,292,92,no,92
370,118,74,no,74
280,386,79,no,79
404,626,78,no,78
218,58,58,no,58
298,256,48,no,48
102,258,86,no,86
436,610,73,no,73
318,512,51,no,51
134,118,67,no,67
190,326,39,no,39
368,272,63,no,63
350,296,60,no,60
390,126,42,no,42
264,72,70,no,70
310,140,46,no,46
516,650,36,no,36
496,646,48,no,48
406,584,42,no,42
302,398,61,no,61
112,102,54,no,54
350,66,31,no,31
516,148,29,no,29
282,524,76,no,76
92,114,59,no,59
238,52,57,no,57
314,308,32,no,32
472,640,61,no,61
156,114,48,no,48
302,530,47,no,47
336,440,44,no,44
182,410,68,no,68
244,252,38,no,38
336,524,29,no,29
266,234,25,no,25
