x,y,r (pixel),is_circle,r (um)
298,552,87,yes,87
598,536,79,yes,79
648,304,62,yes,62
194,262,46,yes,46
732,210,60,yes,60
240,360,60,yes,60
776,328,75,yes,75
334,418,52,yes,52
60,376,66,yes,66
606,192,43,yes,43
34,252,59,yes,59
158,514,56,yes,56
504,218,32,yes,32
310,536,70,no,70
180,466,84,no,84
430,314,26,yes,26
496,380,28,yes,28
172,498,46,no,46
154,406,47,no,47
600,516,59,no,59
750,304,92,no,92
674,280,70,no,70
776,306,78,no,78
262,340,63,no,63
124,206,46,no,46
284,532,63,no,63
42,234,36,no,36
82,366,46,no,46
538,122,22,yes,22
320,564,53,no,53
616,100,24,yes,24
220,440,56,no,56
750,198,47,no,47
332,398,41,no,41
374,32,22,yes,22
26,154,36,yes,36
322,520,50,no,50
634,288,36,no,36
260,364,36,no,36
232,340,40,no,40
202,242,28,no,28
172,396,25,no,25
296,516,52,no,52
70,348,42,no,42
360,252,20,yes,20
622,540,54,no,54
354,410,37,no,37
194,482,49,no,49
664,262,44,no,44
618,506,42,no,42
550,162,21,yes,21
80,390,34,no,34
160,480,40,no,40
246,324,34,no,34
114,454,22,yes,22
722,192,40,no,40
796,342,42,no,42
50,356,40,no,40
624,184,37,no,37
112,188,25,no,25
280,286,17,yes,17
184,188,16,yes,16
