x,y,r (pixel),is_circle,r (um)
390,316,70,yes,206.5
652,528,47,yes,138.65
696,232,42,yes,123.9
642,312,56,yes,165.20000000000002
778,206,42,yes,123.9
142,288,52,yes,153.4
534,250,51,yes,150.45000000000002
766,536,46,yes,135.70000000000002
296,116,43,yes,126.85000000000001
252,384,35,yes,103.25
354,558,39,yes,115.05000000000001
708,116,32,yes,94.4
260,186,28,yes,82.60000000000001
342,642,46,yes,135.70000000000002
170,76,33,yes,97.35000000000001
40,336,29,yes,85.55000000000001
88,208,31,yes,91.45
70,418,30,yes,88.5
268,442,27,yes,79.65
588,64,28,yes,82.60000000000001
126,418,28,yes,82.60000000000001
724,174,22,yes,64.9
644,76,27,yes,79.65
200,572,30,yes,88.5
222,628,32,yes,94.4
48,160,32,yes,94.4
550,412,25,yes,73.75
458,640,24,yes,70.80000000000001
652,130,23,yes,67.85000000000001
364,70,24,yes,70.80000000000001
688,438,22,yes,64.9
344,28,23,yes,67.85000000000001
48,42,31,yes,91.45
328,454,27,yes,79.65
150,368,28,yes,82.60000000000001
412,198,23,yes,67.85000000000001
236,66,28,yes,82.60000000000001
456,166,26,yes,76.7
588,464,18,yes,53.1
226,234,26,yes,76.7
332,498,21,yes,61.95
680,34,27,yes,79.65
318,400,27,yes,79.65
274,630,26,yes,76.7
56,102,29,yes,85.55000000000001
486,312,26,yes,76.7
438,236,24,yes,70.80000000000001
766,668,35,yes,103.25
822,30,23,yes,67.85000000000001
184,120,17,yes,50.150000000000006
826,86,25,yes,73.75
12,628,36,yes,106.2
230,118,21,yes,61.95
156,562,18,yes,53.1
312,274,20,yes,59.0
724,482,12,yes,35.400000000000006
292,36,16,yes,47.2
60,296,14,yes,41.300000000000004
