x,y,r (pixel),is_circle,r (um)
288,374,122,yes,122
292,146,103,yes,103
688,526,92,yes,92
478,456,98,yes,98
636,178,82,yes,82
632,350,92,yes,92
466,258,103,yes,103
212,562,86,yes,86
308,366,120,no,120
548,666,108,yes,108
496,28,133,yes,133
378,590,67,yes,67
304,386,142,no,142
318,144,103,no,103
94,426,82,yes,82
56,190,139,yes,139
498,456,104,no,104
486,244,123,no,123
70,434,92,no,92
306,162,82,no,82
198,580,95,no,95
716,510,100,no,100
362,578,82,yes,82
644,368,66,no,66
672,514,106,no,106
650,338,88,no,88
456,450,125,no,125
278,350,141,no,141
484,276,126,no,126
648,160,103,no,103
708,538,114,no,114
660,178,105,no,105
488,474,80,no,80
194,552,105,no,105
72,202,128,no,128
274,390,106,no,106
360,602,82,no,82
650,198,58,no,58
24,666,100,yes,100
220,582,66,no,66
306,126,81,no,81
396,572,73,no,73
698,502,70,no,70
360,556,78,no,78
284,126,67,no,67
290,408,78,no,78
38,648,81,no,81
