x,y,r (pixel),is_circle,r (um)
152,180,75,yes,75
564,490,46,yes,46
646,178,80,yes,80
320,230,78,yes,78
718,338,76,yes,76
484,268,73,yes,73
554,24,84,yes,84
434,456,74,yes,74
516,142,42,yes,42
268,94,50,yes,50
86,338,79,yes,79
820,192,80,yes,80
206,294,41,yes,41
690,612,46,yes,46
776,76,38,yes,38
624,172,100,no,100
574,606,54,yes,54
698,48,45,yes,45
554,384,49,yes,49
774,546,47,yes,47
356,112,33,yes,33
724,458,40,yes,40
652,518,42,yes,42
302,460,42,yes,42
380,336,41,yes,41
222,506,30,yes,30
46,482,43,yes,43
288,352,40,yes,40
408,48,48,yes,48
134,192,96,no,96
284,572,62,yes,62
146,460,50,yes,50
596,296,40,yes,40
460,98,25,yes,25
428,164,50,no,50
634,426,38,yes,38
24,106,58,yes,58
382,574,44,yes,44
430,646,40,yes,40
324,6,42,yes,42
412,470,98,no,98
476,568,38,yes,38
140,8,76,yes,76
98,544,38,yes,38
816,636,42,yes,42
218,410,40,no,40
166,470,66,no,66
846,438,73,yes,73
298,558,61,no,61
834,314,39,yes,39
500,630,21,yes,21
348,400,23,yes,23
336,616,24,yes,24
212,566,29,yes,29
154,160,56,no,56
172,362,28,yes,28
642,154,61,no,61
74,356,58,no,58
226,26,22,yes,22
548,200,25,yes,25
186,84,24,yes,24
480,246,52,no,52
460,486,40,no,40
710,518,19,yes,19
498,284,52,no,52
228,390,46,no,46
240,450,15,yes,15
240,492,32,no,32
164,522,20,yes,20
166,436,42,no,42
624,194,54,no,54
110,524,29,no,29
