x,y,r (pixel),is_circle,r (um)
544,250,140,yes,140
206,100,103,yes,103
264,562,131,yes,131
780,206,111,yes,111
304,328,114,yes,114
550,228,144,no,144
518,230,171,no,171
550,268,146,no,146
538,186,185,no,185
284,306,143,no,143
274,280,156,no,156
262,542,116,no,116
554,208,151,no,151
242,566,145,no,145
202,550,171,no,171
322,306,116,no,116
216,124,123,no,123
230,154,152,no,152
244,530,123,no,123
366,174,44,yes,44
282,536,130,no,130
284,568,105,no,105
564,252,116,no,116
648,56,90,yes,90
510,212,191,no,191
236,82,137,no,137
580,218,188,no,188
198,530,171,no,171
294,286,141,no,141
336,334,131,no,131
48,518,94,no,94
218,568,169,no,169
530,212,159,no,159
224,538,148,no,148
338,270,142,no,142
786,180,123,no,123
240,122,143,no,143
522,256,119,no,119
212,80,92,no,92
848,556,57,yes,57
276,258,161,no,161
26,328,116,yes,116
228,64,145,no,145
286,342,133,no,133
314,266,145,no,145
126,422,48,yes,48
192,82,81,no,81
526,278,162,no,162
182,260,40,yes,40
312,550,151,no,151
258,304,131,no,131
238,510,118,no,118
288,590,96,no,96
314,348,92,no,92
242,278,125,no,125
284,186,41,yes,41
318,286,118,no,118
764,190,82,no,82
638,38,103,no,103
582,240,124,no,124
662,40,104,no,104
338,250,123,no,123
182,102,110,no,110
432,118,45,no,45
346,296,122,no,122
234,318,119,no,119
230,104,113,no,113
68,528,73,no,73
256,88,117,no,117
308,586,76,no,76
582,264,99,no,99
348,90,51,no,51
230,406,38,yes,38
804,168,125,no,125
232,584,101,no,101
68,504,82,no,82
178,340,41,yes,41
804,192,111,no,111
416,10,85,no,85
192,118,80,no,80
798,216,125,no,125
214,602,77,no,77
316,244,107,no,107
766,222,76,no,76
390,138,68,no,68
664,74,72,no,72
812,138,136,no,136
304,606,73,no,73
500,250,116,no,116
514,82,39,yes,39
260,592,86,no,86
342,354,69,no,69
800,40,38,yes,38
92,518,76,no,76
190,240,69,no,69
162,84,78,no,78
414,126,55,no,55
602,206,89,no,89
304,528,78,no,78
752,172,62,no,62
158,332,48,no,48
54,544,69,no,69
626,54,65,no,65
372,154,52,no,52
148,484,29,no,29
170,118,52,no,52
106,496,66,no,66
42,352,76,no,76
644,80,58,no,58
272,358,53,no,53
294,166,45,no,45
382,230,24,yes,24
192,320,57,no,57
318,368,72,no,72
256,338,52,no,52
84,550,47,no,47
202,148,54,no,54
272,72,62,no,62
