x,y,r (pixel),is_circle,r (um)
542,238,199,yes,199
264,510,193,no,193
660,568,151,no,151
248,542,234,yes,234
554,212,168,no,168
526,222,197,no,197
524,254,218,no,218
160,108,203,yes,203
224,552,250,no,250
572,228,190,no,190
572,260,236,no,236
644,592,180,yes,180
508,210,208,no,208
506,240,219,no,219
280,528,216,no,216
244,522,216,no,216
664,598,197,no,197
576,208,206,no,206
266,554,254,no,254
532,272,232,no,232
260,488,172,no,172
586,276,256,no,256
554,192,149,no,149
592,220,201,no,201
502,262,239,no,239
528,202,200,no,200
590,244,213,no,213
620,600,198,no,198
280,498,186,no,186
142,98,239,no,239
550,258,182,no,182
174,130,178,no,178
612,214,220,no,220
594,196,195,no,195
132,74,246,no,246
570,178,230,no,230
630,244,246,no,246
296,544,238,no,238
480,212,237,no,237
488,230,229,no,229
492,192,232,no,232
336,538,326,no,326
592,176,174,no,174
638,570,183,no,183
222,528,248,no,248
660,548,132,no,132
298,516,215,no,215
312,562,260,no,260
614,234,232,no,232
160,82,219,no,219
562,280,203,no,203
328,574,281,no,281
188,152,163,no,163
590,596,227,no,227
686,580,178,no,178
318,518,236,no,236
612,186,188,no,188
302,482,147,no,147
540,170,124,no,124
214,508,185,no,185
480,256,135,no,135
610,270,115,no,115
232,496,188,no,188
580,306,108,no,108
182,98,189,no,189
560,158,156,no,156
620,552,134,no,134
604,294,120,no,120
468,228,156,no,156
206,486,132,no,132
388,522,162,no,162
356,516,124,no,124
640,268,122,no,122
188,468,106,no,106
532,150,102,no,102
632,220,92,no,92
824,340,82,no,82
606,568,116,no,116
624,330,80,no,80
166,486,96,no,96
404,462,98,no,98
464,162,91,no,91
250,244,58,no,58
