x,y,r (pixel),is_circle,r (um)
742,294,93,no,93
486,606,80,yes,80
474,340,89,yes,89
448,350,143,no,143
616,530,50,yes,50
606,150,89,no,89
324,84,85,yes,85
742,478,70,yes,70
350,532,67,yes,67
166,152,82,no,82
622,416,56,yes,56
776,600,41,yes,41
528,462,46,yes,46
406,196,51,yes,51
252,432,52,yes,52
198,314,61,yes,61
294,222,50,yes,50
426,368,138,no,138
188,158,90,no,90
592,294,45,yes,45
570,170,116,no,116
56,362,61,yes,61
448,100,55,yes,55
334,544,79,yes,79
692,580,37,yes,37
620,644,48,yes,48
318,330,49,yes,49
618,130,128,no,128
176,322,81,no,81
344,72,89,no,89
762,276,118,no,118
586,156,95,yes,95
504,356,143,no,143
242,392,110,no,110
756,462,91,no,91
46,150,50,yes,50
638,130,127,no,127
472,318,106,no,106
468,96,68,no,68
610,170,67,no,67
740,316,88,no,88
642,418,63,no,63
126,238,25,yes,25
742,274,104,no,104
270,234,100,no,100
338,516,85,no,85
486,82,55,no,55
430,180,65,no,65
62,340,54,no,54
60,246,36,yes,36
354,418,42,yes,42
724,284,91,no,91
108,84,51,no,51
490,578,53,no,53
432,462,34,yes,34
486,222,36,yes,36
472,620,100,no,100
714,680,41,no,41
248,412,59,no,59
722,304,70,no,70
182,136,47,no,47
738,134,40,no,40
564,366,34,no,34
196,284,37,no,37
504,594,59,no,59
138,438,35,no,35
276,412,49,no,49
214,174,58,no,58
630,396,36,no,36
546,8,43,no,43
