x,y,r (pixel),is_circle,r (um)
354,560,61,yes,61
544,104,49,yes,49
728,598,80,yes,80
664,342,70,yes,70
758,248,63,yes,63
368,114,55,yes,55
464,46,42,yes,42
672,468,46,yes,46
796,122,46,yes,46
532,472,60,yes,60
108,396,45,yes,45
648,208,40,yes,40
364,446,53,yes,53
540,282,48,yes,48
462,124,40,yes,40
556,372,32,yes,32
482,202,40,yes,40
544,620,54,yes,54
658,366,94,no,94
732,570,84,no,84
468,364,39,yes,39
644,100,42,yes,42
712,152,37,yes,37
92,300,56,yes,56
278,484,43,yes,43
378,346,45,yes,45
770,230,65,no,65
762,464,45,yes,45
706,596,87,no,87
428,646,53,yes,53
212,404,47,yes,47
244,576,44,yes,44
312,648,43,yes,43
138,184,58,yes,58
192,312,36,yes,36
240,168,36,yes,36
808,320,31,yes,31
436,286,44,yes,44
298,290,40,yes,40
100,584,27,yes,27
124,504,52,yes,52
430,492,45,yes,45
722,80,30,yes,30
642,346,82,no,82
64,210,28,yes,28
602,162,28,yes,28
402,198,32,yes,32
474,558,50,no,50
776,14,63,yes,63
580,216,31,yes,31
226,252,38,yes,38
274,104,37,yes,37
604,28,36,yes,36
764,368,36,yes,36
44,562,32,yes,32
194,112,37,yes,37
366,266,34,yes,34
158,646,34,yes,34
616,544,36,yes,36
722,412,24,yes,24
32,40,46,yes,46
156,582,32,yes,32
230,30,63,yes,63
850,506,52,yes,52
456,436,29,yes,29
544,168,23,yes,23
316,40,28,yes,28
534,22,36,yes,36
614,256,23,yes,23
834,580,29,yes,29
238,648,25,yes,25
122,82,40,yes,40
14,362,48,yes,48
44,136,46,yes,46
200,484,31,yes,31
292,434,24,yes,24
604,420,22,yes,22
