index,x,y,r (pixel),is_circle,r (um),probability
32,702,70,23,yes,23,0.59375
9,656,56,17,yes,17,0.5729166666666666
0,616,220,10,yes,10,0.5714285714285714
157,824,40,71,yes,71,0.5476190476190477
45,474,492,27,yes,27,0.5131578947368421
8,498,120,16,yes,16,0.5
60,540,108,31,yes,31,0.47674418604651164
5,712,206,13,yes,13,0.4722222222222222
106,436,78,46,yes,46,0.4346153846153846
38,410,376,24,yes,24,0.4166666666666667
13,354,566,17,yes,17,0.40625
97,546,212,43,yes,43,0.4041666666666667
86,806,500,40,yes,40,0.39732142857142855
26,670,228,21,yes,21,0.39655172413793105
93,624,276,41,yes,41,0.39473684210526316
7,154,252,15,yes,15,0.39285714285714285
40,164,294,25,yes,25,0.39285714285714285
71,786,136,36,yes,36,0.39
3,94,316,13,yes,13,0.3888888888888889
66,786,206,34,yes,34,0.3854166666666667
23,124,570,19,yes,19,0.38461538461538464
91,808,676,40,yes,40,0.3816793893129771
56,238,226,30,yes,30,0.38095238095238093
11,208,372,17,yes,17,0.375
1,110,236,10,yes,10,0.375
20,318,164,19,yes,19,0.375
57,284,284,30,yes,30,0.36904761904761907
159,176,154,75,yes,75,0.3608490566037736
52,516,58,29,yes,29,0.35365853658536583
141,780,404,61,yes,61,0.35174418604651164
105,384,440,46,yes,46,0.35
16,740,110,18,yes,18,0.35
2,430,580,12,yes,12,0.34375
12,26,536,17,yes,17,0.34375
87,594,54,40,yes,40,0.34375
36,372,658,24,yes,24,0.3409090909090909
48,766,600,28,yes,28,0.33974358974358976
4,122,322,13,yes,13,0.3333333333333333
72,478,638,36,yes,36,0.33
138,722,278,59,yes,59,0.32831325301204817
155,660,154,70,no,70,0.3239795918367347
49,168,596,28,no,28,0.32051282051282054
33,132,498,23,yes,23,0.3203125
77,170,42,37,yes,37,0.3173076923076923
42,142,534,25,no,25,0.3142857142857143
98,422,324,43,yes,43,0.3125
107,466,172,46,yes,46,0.3076923076923077
50,524,472,28,no,28,0.3076923076923077
89,196,658,40,yes,40,0.30538922155688625
63,52,460,32,no,32,0.29444444444444445
109,106,386,46,no,46,0.2923076923076923
70,474,246,36,yes,36,0.29
136,576,450,58,yes,58,0.2865853658536585
30,266,510,21,no,21,0.28448275862068967
28,82,408,21,no,21,0.28448275862068967
122,536,306,51,yes,51,0.28125
58,396,506,30,yes,30,0.27976190476190477
61,48,348,31,no,31,0.27906976744186046
83,46,22,38,yes,38,0.2781456953642384
6,624,566,14,yes,14,0.27631578947368424
53,380,24,29,yes,29,0.2740740740740741
34,812,602,23,yes,23,0.2734375
37,696,584,24,yes,24,0.2727272727272727
74,36,364,36,no,36,0.27
27,50,418,21,no,21,0.2672413793103448
117,126,606,48,no,48,0.26492537313432835
25,546,548,20,yes,20,0.25892857142857145
104,382,148,45,yes,45,0.25793650793650796
44,304,218,27,yes,27,0.2565789473684211
46,190,548,27,no,27,0.2565789473684211
119,402,606,49,no,49,0.2536231884057971
110,136,438,46,no,46,0.25
75,274,606,36,no,36,0.25
59,570,56,30,no,30,0.25
14,556,148,18,yes,18,0.25
43,582,360,26,yes,26,0.25
