x,y,r (pixel),is_circle,r (um)
252,114,68,yes,68
444,358,82,yes,82
66,122,66,yes,66
372,180,73,yes,73
638,438,81,yes,81
576,226,56,yes,56
502,576,56,yes,56
332,586,35,yes,35
696,216,77,no,77
782,592,64,yes,64
378,456,48,yes,48
662,544,43,yes,43
462,334,99,no,99
394,174,95,no,95
806,420,88,yes,88
610,646,71,yes,71
730,502,41,yes,41
506,468,56,yes,56
730,208,64,no,64
658,428,85,no,85
360,162,95,no,95
756,584,89,no,89
554,230,73,no,73
826,138,70,yes,70
130,536,38,yes,38
648,306,47,yes,47
470,232,49,yes,49
558,332,38,yes,38
192,10,49,yes,49
474,366,95,no,95
616,426,95,no,95
546,84,38,yes,38
698,196,80,no,80
276,112,68,no,68
782,410,92,no,92
560,210,84,no,84
490,134,38,no,38
734,108,39,yes,39
748,308,46,no,46
686,350,23,yes,23
384,200,47,no,47
526,476,74,no,74
328,282,38,no,38
788,46,33,yes,33
438,516,32,no,32
616,72,40,no,40
642,140,46,no,46
724,658,35,yes,35
494,220,58,no,58
624,632,55,no,55
716,224,53,no,53
400,660,37,yes,37
560,146,29,yes,29
814,400,82,no,82
590,526,33,yes,33
462,34,70,yes,70
800,582,56,no,56
622,146,44,no,44
356,58,30,yes,30
90,124,44,no,44
724,316,39,no,39
454,380,53,no,53
640,538,43,no,43
426,348,44,no,44
46,110,43,no,43
392,94,21,yes,21
304,96,42,no,42
682,22,45,no,45
754,198,37,no,37
240,94,50,no,50
662,290,25,no,25
596,218,32,no,32
486,156,28,no,28
534,564,29,no,29
532,454,30,no,30
814,610,29,no,29
748,492,25,no,25
120,476,15,no,15
