x,y,r (pixel),is_circle,r (um)
510,408,61,yes,92.11
160,150,61,yes,92.11
396,336,56,yes,84.56
830,64,116,yes,175.16
402,154,40,yes,60.4
270,94,51,yes,77.01
88,548,56,yes,84.56
76,36,65,yes,98.15
490,594,53,yes,80.03
660,484,29,yes,43.79
28,306,41,yes,61.910000000000004
370,430,27,yes,40.77
830,528,39,yes,58.89
498,62,40,yes,60.4
350,28,41,yes,61.910000000000004
168,128,67,no,101.17
194,26,41,yes,61.910000000000004
142,140,80,no,120.8
160,678,46,yes,69.46
268,260,19,yes,28.69
284,76,86,no,129.86
840,44,125,no,188.75
458,676,36,yes,54.36
700,656,19,yes,28.69
178,504,10,yes,15.1
406,316,38,no,57.38
488,418,45,no,67.95
