x,y,r (pixel),is_circle,r (um)
218,214,205,yes,205
588,306,174,yes,174
562,302,191,no,191
196,226,228,no,228
238,232,232,no,232
604,280,144,no,144
214,234,222,no,222
654,574,121,yes,121
194,246,244,no,244
244,190,169,no,169
178,234,249,no,249
802,58,96,yes,96
672,558,97,no,97
612,320,139,no,139
582,286,183,no,183
360,568,176,yes,176
566,324,202,no,202
240,210,242,no,242
252,248,249,no,249
540,310,214,no,214
690,570,113,no,113
630,586,146,no,146
228,254,244,no,244
192,196,218,no,218
614,300,201,no,201
636,300,223,no,223
388,580,156,no,156
634,320,221,no,221
680,588,96,no,96
268,216,198,no,198
380,560,154,no,154
218,192,191,no,191
360,590,187,no,187
570,260,212,no,212
556,280,202,no,202
286,246,232,no,232
170,214,237,no,237
616,262,126,no,126
694,534,148,no,148
602,348,212,no,212
288,200,192,no,192
654,290,178,no,178
414,582,180,no,180
240,170,149,no,149
206,174,220,no,220
400,544,139,no,139
622,352,107,no,107
260,176,148,no,148
712,550,134,no,134
626,282,156,no,156
338,564,197,no,197
650,598,105,no,105
2,546,137,no,137
420,562,164,no,164
178,178,157,no,157
556,476,48,no,48
262,268,146,no,146
358,542,155,no,155
686,614,72,no,72
642,342,103,no,103
820,72,70,no,70
702,590,78,no,78
