x,y,r (pixel),is_circle,r (um)
344,222,98,yes,98
382,424,95,yes,95
304,574,68,yes,68
238,352,60,yes,60
658,406,104,yes,104
502,154,63,yes,63
124,466,89,yes,89
166,626,68,yes,68
638,228,75,yes,75
790,572,92,yes,92
402,22,104,yes,104
468,616,97,yes,97
506,296,71,yes,71
742,124,56,yes,56
150,142,62,yes,62
642,386,118,no,118
610,552,60,yes,60
198,246,46,yes,46
804,258,89,yes,89
614,36,113,yes,113
58,280,87,yes,87
324,230,118,no,118
646,204,99,no,99
128,486,105,no,105
662,426,120,no,120
120,446,101,no,101
318,206,119,no,119
368,402,110,no,110
302,94,43,yes,43
620,352,156,no,156
624,212,94,no,94
602,366,163,no,163
340,242,120,no,120
792,552,111,no,111
438,624,125,no,125
640,416,96,no,96
674,394,85,no,85
386,444,110,no,110
774,540,86,no,86
518,466,68,no,68
44,24,86,yes,86
140,454,110,no,110
602,20,107,no,107
304,554,69,no,69
216,16,72,yes,72
146,618,89,no,89
364,444,104,no,104
616,190,85,no,85
262,464,42,yes,42
140,432,113,no,113
38,286,110,no,110
160,604,64,no,64
282,566,81,no,81
480,598,86,no,86
146,494,73,no,73
516,172,84,no,84
132,130,82,no,82
116,502,73,no,73
666,448,89,no,89
828,404,64,yes,64
488,616,68,no,68
186,616,48,no,48
618,530,67,no,67
400,464,77,no,77
692,432,62,no,62
530,484,47,yes,47
