x,y,r (pixel),is_circle,r (um)
124,474,72,yes,72
666,540,62,yes,62
236,290,74,yes,74
738,364,59,yes,59
218,158,62,yes,62
328,196,56,yes,56
556,336,56,yes,56
704,662,64,yes,64
320,90,48,yes,48
744,240,57,yes,57
452,396,74,no,74
104,616,70,no,70
238,512,53,yes,53
340,540,51,yes,51
230,410,59,no,59
120,334,51,yes,51
502,236,51,yes,51
406,632,60,yes,60
358,304,48,yes,48
782,534,58,yes,58
164,62,48,yes,48
126,230,54,yes,54
444,374,48,yes,48
634,406,47,yes,47
758,124,46,yes,46
246,58,36,yes,36
250,272,70,no,70
352,398,44,yes,44
470,82,45,yes,45
212,600,41,yes,41
670,158,41,yes,41
618,422,70,no,70
552,596,44,yes,44
506,520,57,yes,57
294,624,44,yes,44
518,412,39,yes,39
106,132,46,yes,46
746,26,49,yes,49
670,518,74,no,74
652,248,36,yes,36
432,390,68,no,68
284,604,57,no,57
306,458,36,yes,36
338,306,61,no,61
574,482,53,no,53
422,184,39,yes,39
46,306,39,yes,39
216,514,70,no,70
396,116,36,yes,36
646,426,69,no,69
646,322,42,yes,42
592,212,40,yes,40
232,144,66,no,66
684,80,35,yes,35
54,50,52,yes,52
90,598,48,no,48
588,140,31,yes,31
412,478,28,yes,28
534,576,59,no,59
486,502,48,no,48
606,656,37,yes,37
852,182,58,yes,58
774,440,36,yes,36
706,438,32,yes,32
716,358,48,no,48
124,312,60,no,60
506,148,31,yes,31
542,98,30,yes,30
430,274,32,yes,32
562,82,32,no,32
782,606,27,yes,27
414,534,38,no,38
460,444,30,yes,30
296,354,29,yes,29
390,234,27,yes,27
318,530,44,no,44
220,492,39,no,39
594,480,38,yes,38
478,304,28,yes,28
362,466,24,yes,24
414,54,18,yes,18
578,196,40,no,40
48,402,29,yes,29
252,416,44,no,44
800,398,22,yes,22
598,254,15,yes,15
168,384,26,yes,26
376,64,19,yes,19
88,180,16,yes,16
