x,y,r (pixel),is_circle,r (um)
452,508,36,yes,36
194,218,38,yes,38
754,68,43,yes,43
454,192,36,yes,36
792,278,42,yes,42
810,200,30,yes,30
374,96,33,yes,33
646,220,41,yes,41
720,460,42,yes,42
556,214,44,yes,44
464,442,27,yes,27
504,140,36,yes,36
778,146,33,yes,33
158,154,36,yes,36
758,364,34,yes,34
302,94,40,yes,40
746,222,30,yes,30
688,40,23,yes,23
86,78,35,yes,35
714,274,31,yes,31
614,514,25,yes,25
566,340,37,yes,37
784,422,25,yes,25
562,146,21,yes,21
116,210,33,yes,33
90,306,30,yes,30
384,194,35,yes,35
234,422,33,yes,33
792,600,29,yes,29
486,240,24,yes,24
162,296,46,yes,46
702,582,33,yes,33
518,416,32,yes,32
220,156,28,yes,28
74,434,27,yes,27
740,522,28,yes,28
694,86,18,yes,18
286,174,41,yes,41
606,276,30,yes,30
228,82,29,yes,29
534,634,27,yes,27
590,408,39,yes,39
446,290,31,yes,31
384,424,29,yes,29
104,366,34,yes,34
630,570,31,yes,31
828,398,26,yes,26
346,302,25,yes,25
566,538,27,yes,27
608,166,22,yes,22
564,94,39,yes,39
88,144,31,yes,31
644,326,29,yes,29
674,514,29,yes,29
50,338,24,yes,24
394,348,56,no,56
656,626,31,yes,31
228,270,27,yes,27
58,198,32,yes,32
258,222,22,yes,22
188,346,19,yes,19
656,148,31,yes,31
470,380,24,yes,24
502,294,24,yes,24
40,296,21,yes,21
580,474,24,yes,24
268,36,34,no,34
414,136,30,no,30
162,406,23,yes,23
506,342,23,yes,23
550,282,20,yes,20
280,306,32,yes,32
788,476,31,yes,31
534,488,27,yes,27
692,326,21,yes,21
196,382,19,yes,19
540,32,28,yes,28
668,412,23,yes,23
552,584,22,yes,22
588,48,18,yes,18
406,364,40,yes,40
424,240,23,yes,23
458,338,20,yes,20
482,578,25,yes,25
822,26,25,yes,25
342,42,27,yes,27
198,38,21,yes,21
420,456,19,yes,19
786,548,21,yes,21
318,380,29,yes,29
656,276,26,yes,26
700,132,22,yes,22
822,514,21,yes,21
314,338,18,yes,18
702,224,15,yes,15
696,368,26,yes,26
744,614,24,yes,24
120,412,16,yes,16
640,456,29,yes,29
82,252,26,yes,26
304,438,23,yes,23
512,64,22,yes,22
594,610,28,yes,28
818,338,27,yes,27
232,316,26,yes,26
596,128,18,yes,18
170,98,16,yes,16
136,88,14,yes,14
774,652,24,yes,24
430,410,20,yes,20
272,258,13,yes,13
222,360,14,yes,14
122,122,16,yes,16
730,166,23,yes,23
502,530,23,yes,23
478,94,17,yes,17
496,22,19,yes,19
198,116,16,yes,16
262,358,24,yes,24
618,652,20,yes,20
164,62,18,yes,18
398,36,24,yes,24
754,568,17,yes,17
556,376,16,yes,16
392,298,24,yes,24
258,118,23,yes,23
504,184,18,yes,18
426,70,13,yes,13
