index,x,y,r (pixel),is_circle,r (um),probability
2,112,24,68,yes,68,0.4315352697095436
6,504,386,95,yes,95,0.3656716417910448
11,274,366,118,yes,118,0.2680722891566265
3,636,492,80,yes,80,0.21902654867256638
10,286,346,115,no,115,0.19598765432098766
0,734,146,63,yes,63,0.18820224719101122
1,654,480,65,no,65,0.17582417582417584
7,512,368,96,no,96,0.17407407407407408
13,92,524,126,yes,126,0.15711645101663585
9,100,504,106,no,106,0.15630885122410546
12,294,364,123,no,123,0.13728323699421965
8,114,520,100,no,100,0.11347517730496454
4,76,176,87,yes,87,0.1070559610705596
5,70,196,90,no,90,0.037783375314861464
