x,y,r (pixel),is_circle,r (um)
236,226,92,yes,92
516,166,126,no,126
482,164,98,no,98
342,52,86,yes,86
456,164,89,no,89
236,498,103,no,103
648,102,97,no,97
250,248,118,no,118
500,114,124,no,124
606,238,96,no,96
216,216,126,no,126
400,306,72,yes,72
518,136,136,no,136
134,372,89,no,89
378,302,100,no,100
164,50,100,yes,100
116,364,75,yes,75
662,360,121,no,121
480,190,101,no,101
648,394,84,yes,84
504,466,84,yes,84
670,384,106,no,106
340,84,83,no,83
400,594,82,yes,82
266,510,70,yes,70
130,568,82,no,82
224,262,115,no,115
144,548,91,no,91
638,372,102,no,102
766,110,37,yes,37
258,214,115,no,115
644,54,61,yes,61
644,164,87,no,87
462,142,89,no,89
482,128,96,no,96
630,214,69,no,69
352,34,108,no,108
372,446,61,yes,61
636,78,77,no,77
364,288,114,no,114
396,286,101,no,101
608,410,119,no,119
680,128,56,no,56
592,222,77,no,77
570,326,44,yes,44
622,186,81,no,81
658,72,74,no,74
150,574,62,yes,62
326,36,87,no,87
600,200,74,no,74
520,340,53,yes,53
498,144,77,no,77
638,234,71,no,71
566,82,49,no,49
674,282,38,yes,38
642,192,76,no,76
238,380,68,no,68
748,524,50,yes,50
620,134,49,no,49
496,262,39,yes,39
102,344,77,no,77
162,462,56,no,56
546,82,32,yes,32
386,322,69,no,69
96,516,40,no,40
182,492,67,no,67
698,136,41,yes,41
556,254,34,yes,34
382,582,89,no,89
636,412,71,no,71
404,574,68,no,68
76,516,39,yes,39
66,220,72,yes,72
324,62,60,no,60
518,320,37,no,37
624,62,60,no,60
504,362,46,no,46
446,182,60,no,60
802,88,29,yes,29
592,322,28,yes,28
356,200,38,yes,38
602,120,25,yes,25
444,126,44,no,44
672,46,48,no,48
442,388,32,yes,32
824,124,23,yes,23
418,132,22,no,22
220,190,58,no,58
750,32,34,yes,34
614,162,43,no,43
610,272,24,yes,24
710,86,32,no,32
572,348,30,no,30
436,156,46,no,46
582,302,24,yes,24
90,494,28,no,28
560,274,24,no,24
