x,y,r (pixel),is_circle,r (um)
768,464,75,yes,221.25
320,110,57,yes,168.15
362,594,55,yes,162.25
150,374,55,yes,162.25
174,548,47,yes,138.65
462,470,46,yes,135.70000000000002
238,370,34,yes,100.30000000000001
58,64,44,yes,129.8
612,198,34,yes,100.30000000000001
472,204,46,yes,135.70000000000002
536,258,38,yes,112.10000000000001
182,146,35,yes,103.25
442,386,44,yes,129.8
378,470,38,yes,112.10000000000001
272,258,34,yes,100.30000000000001
210,234,34,yes,100.30000000000001
612,270,38,yes,112.10000000000001
696,374,33,yes,97.35000000000001
534,62,28,yes,82.60000000000001
52,438,35,yes,103.25
760,608,30,yes,88.5
94,502,47,yes,138.65
576,344,30,yes,88.5
316,336,28,yes,82.60000000000001
530,616,42,yes,123.9
400,60,38,yes,112.10000000000001
518,366,25,yes,73.75
466,124,35,yes,103.25
248,308,22,yes,64.9
198,658,38,yes,112.10000000000001
698,268,27,yes,79.65
278,14,39,yes,115.05000000000001
68,372,29,yes,85.55000000000001
764,444,60,no,177.0
158,354,60,no,177.0
272,662,42,yes,123.9
642,66,20,yes,59.0
414,110,21,yes,61.95
240,192,19,yes,56.050000000000004
360,416,18,yes,53.1
504,20,24,yes,70.80000000000001
236,152,25,yes,73.75
412,670,35,yes,103.25
376,522,18,yes,53.1
186,310,17,yes,50.150000000000006
