x,y,r (pixel),is_circle,r (um)
502,610,211,yes,211
594,200,224,yes,224
588,176,210,no,210
258,272,140,yes,140
526,586,176,no,176
274,254,116,no,116
560,190,241,no,241
50,548,206,yes,206
68,534,183,no,183
616,162,184,no,184
608,186,193,no,193
522,606,198,no,198
536,648,260,no,260
480,618,233,no,233
574,206,208,no,208
468,164,323,no,323
540,200,263,no,263
500,636,232,no,232
248,240,239,no,239
558,218,265,no,265
452,626,262,no,262
292,264,131,no,131
610,134,241,no,241
518,150,277,no,277
564,170,228,no,228
626,208,216,no,216
234,276,162,no,162
562,664,291,no,291
670,178,230,no,230
652,204,202,no,202
546,164,246,no,246
232,224,223,no,223
258,310,178,no,178
506,176,278,no,278
56,224,81,yes,81
530,130,280,no,280
600,234,232,no,232
270,290,123,no,123
466,576,236,no,236
526,172,265,no,265
270,334,195,no,195
562,146,264,no,264
630,180,200,no,200
312,238,157,no,157
64,572,220,no,220
360,228,202,no,202
314,288,164,no,164
146,52,107,no,107
498,150,293,no,293
554,104,281,no,281
344,300,224,no,224
650,176,216,no,216
520,634,241,no,241
590,156,216,no,216
214,200,204,no,204
210,256,177,no,177
212,278,181,no,181
502,204,300,no,300
458,606,256,no,256
576,230,228,no,228
598,278,277,no,277
598,254,253,no,253
240,296,170,no,170
628,242,152,no,152
476,594,236,no,236
290,290,103,no,103
312,268,181,no,181
330,250,164,no,164
92,534,162,no,162
484,562,225,no,225
448,568,228,no,228
160,484,199,no,199
120,518,182,no,182
510,546,136,no,136
154,30,126,yes,126
36,572,233,no,233
74,214,78,no,78
542,604,201,no,201
650,234,181,no,181
640,150,159,no,159
690,216,214,no,214
592,644,261,no,261
230,250,159,no,159
500,590,200,no,200
130,22,153,no,153
688,190,251,no,251
512,570,197,no,197
328,222,179,no,179
446,548,211,no,211
342,266,171,no,171
146,516,167,no,167
566,624,230,no,230
466,552,223,no,223
284,232,152,no,152
124,538,145,no,145
624,264,132,no,132
542,572,174,no,174
630,130,262,no,262
282,310,88,no,88
416,186,185,no,185
566,254,192,no,192
186,470,198,no,198
544,242,162,no,162
658,290,149,no,149
94,212,84,no,84
620,300,124,no,124
426,558,126,no,126
102,186,101,no,101
110,22,171,no,171
664,258,174,no,174
668,218,194,no,194
314,454,76,no,76
594,114,234,no,234
62,462,221,no,221
656,134,132,no,132
172,46,104,no,104
62,196,57,no,57
292,434,62,no,62
66,240,62,no,62
120,42,131,no,131
334,130,103,no,103
268,218,80,no,80
160,80,77,no,77
198,524,151,no,151
692,248,145,no,145
166,506,142,no,142
150,552,134,no,134
44,208,90,no,90
82,560,191,no,191
706,178,146,no,146
422,580,134,no,134
638,288,105,no,105
292,330,80,no,80
368,94,68,no,68
388,378,49,no,49
644,256,130,no,130
182,490,127,no,127
356,116,92,no,92
86,230,85,no,85
214,316,79,no,79
648,316,103,no,103
348,440,67,no,67
322,68,72,no,72
332,420,49,no,49
660,158,156,no,156
570,524,102,no,102
306,314,89,no,89
426,374,56,no,56
402,402,54,no,54
746,244,69,no,69
340,320,57,no,57
540,272,138,no,138
674,238,106,no,106
186,64,66,no,66
600,300,98,no,98
682,276,89,no,89
310,342,58,no,58
190,226,55,no,55
410,84,53,no,53
122,568,121,no,121
432,334,65,no,65
266,426,43,no,43
486,176,122,no,122
556,84,87,no,87
452,148,82,no,82
654,342,76,no,76
214,62,61,no,61
238,326,84,no,84
300,220,77,no,77
718,216,108,no,108
758,352,41,no,41
298,74,66,no,66
492,130,64,no,64
678,324,64,no,64
82,254,42,no,42
380,404,35,no,35
500,274,109,no,109
206,40,74,no,74
160,102,73,no,73
168,414,70,no,70
298,360,49,no,49
180,24,102,no,102
704,276,72,no,72
186,90,72,no,72
582,330,62,no,62
226,78,48,no,48
160,572,110,no,110
720,240,62,no,62
408,128,37,no,37
