x,y,r (pixel),is_circle,r (um)
334,180,191,yes,191
338,158,170,no,170
354,144,150,no,150
376,158,237,no,237
728,188,186,yes,186
332,206,168,no,168
314,184,205,no,205
734,154,173,no,173
356,172,167,no,167
316,156,180,no,180
374,188,187,no,187
90,70,83,yes,83
534,298,70,yes,70
346,224,222,no,222
334,138,238,no,238
310,134,198,no,198
366,226,240,no,240
294,150,202,no,202
350,196,183,no,183
292,198,151,no,151
550,316,102,no,102
370,132,130,no,130
716,170,167,no,167
612,574,223,yes,223
62,74,110,no,110
764,158,200,no,200
720,208,163,no,163
738,220,158,no,158
362,248,127,no,127
392,180,107,no,107
752,192,133,no,133
474,584,18,yes,18
466,348,28,no,28
108,56,61,no,61
378,282,54,no,54
590,578,106,no,106
