x,y,r (pixel),is_circle,r (um)
286,80,78,no,78
378,548,38,yes,38
592,320,62,no,62
138,454,41,yes,41
538,150,34,yes,34
230,532,30,yes,30
230,376,45,yes,45
200,600,34,yes,34
632,198,33,yes,33
532,448,53,no,53
84,606,46,no,46
742,286,36,yes,36
304,234,31,yes,31
436,354,29,yes,29
428,292,25,yes,25
704,428,39,yes,39
86,402,28,yes,28
500,86,43,yes,43
500,334,28,yes,28
372,200,33,yes,33
728,514,29,yes,29
416,100,46,yes,46
700,576,31,yes,31
134,150,30,yes,30
432,596,26,yes,26
64,466,31,yes,31
552,578,29,yes,29
162,530,31,yes,31
200,148,32,yes,32
86,526,25,yes,25
288,506,25,yes,25
388,652,25,yes,25
466,468,25,yes,25
434,512,19,yes,19
650,572,19,yes,19
768,346,29,yes,29
768,464,25,yes,25
512,464,55,no,55
124,320,39,yes,39
356,474,31,yes,31
308,162,29,yes,29
636,622,25,yes,25
478,200,31,yes,31
486,594,30,yes,30
632,462,29,yes,29
202,254,29,yes,29
300,412,23,yes,23
254,192,37,no,37
274,32,32,yes,32
486,272,28,yes,28
640,508,18,yes,18
78,628,39,no,39
268,622,29,yes,29
502,388,19,yes,19
326,48,17,yes,17
170,214,42,no,42
746,664,33,yes,33
594,508,20,yes,20
552,524,19,yes,19
292,554,36,no,36
100,256,29,yes,29
252,454,28,yes,28
462,636,18,yes,18
682,484,18,yes,18
48,152,33,no,33
554,642,19,yes,19
122,596,28,no,28
430,232,25,yes,25
578,240,22,yes,22
430,178,22,yes,22
660,140,19,yes,19
174,342,17,yes,17
388,434,16,yes,16
606,128,39,no,39
352,414,31,no,31
314,648,30,no,30
622,268,28,no,28
772,62,48,yes,48
224,264,34,no,34
768,614,23,yes,23
422,444,20,yes,20
768,568,23,yes,23
432,402,17,yes,17
700,80,26,yes,26
558,288,22,yes,22
356,262,21,yes,21
248,574,17,yes,17
820,624,16,yes,16
208,214,31,no,31
466,428,28,yes,28
210,88,23,yes,23
316,322,23,yes,23
118,86,31,yes,31
704,236,29,yes,29
40,276,28,yes,28
140,384,26,yes,26
90,124,18,yes,18
304,458,17,yes,17
484,140,21,yes,21
152,576,21,yes,21
200,484,18,yes,18
54,234,15,yes,15
270,282,22,yes,22
68,84,20,yes,20
678,634,15,yes,15
616,376,28,yes,28
284,364,23,yes,23
370,34,22,yes,22
26,412,20,yes,20
546,338,20,yes,20
186,288,31,yes,31
110,22,30,yes,30
318,610,25,yes,25
374,352,23,yes,23
510,544,21,yes,21
400,488,17,yes,17
614,544,19,yes,19
676,294,18,yes,18
730,612,17,yes,17
150,604,25,no,25
766,404,24,yes,24
530,212,22,yes,22
136,242,18,yes,18
392,394,17,yes,17
676,526,18,yes,18
340,370,25,yes,25
662,380,23,yes,23
614,420,19,yes,19
264,330,18,yes,18
590,606,18,yes,18
182,404,17,yes,17
522,616,16,yes,16
346,304,25,yes,25
62,322,29,no,29
804,132,27,yes,27
316,284,25,yes,25
484,504,17,yes,17
530,262,14,yes,14
424,634,13,yes,13
786,230,25,yes,25
22,194,23,no,23
550,378,22,yes,22
92,574,21,yes,21
596,86,21,yes,21
148,272,10,yes,10
340,88,22,yes,22
334,116,21,yes,21
114,560,21,yes,21
382,606,16,yes,16
596,568,15,yes,15
592,276,23,no,23
698,136,20,yes,20
714,342,18,yes,18
464,310,17,yes,17
578,542,10,yes,10
