x,y,r (pixel),is_circle,r (um)
278,140,87,yes,87
750,84,82,yes,82
624,428,77,yes,77
516,316,69,yes,69
664,268,92,yes,92
454,458,95,no,95
346,524,72,yes,72
744,600,59,yes,59
534,576,64,yes,64
648,548,53,yes,53
114,110,99,no,99
480,456,70,yes,70
538,194,59,yes,59
112,276,63,yes,63
258,458,94,no,94
376,348,80,no,80
194,360,59,yes,59
210,266,39,yes,39
644,414,99,no,99
386,616,44,yes,44
196,572,50,yes,50
260,124,99,no,99
182,194,43,yes,43
772,82,81,no,81
812,348,64,yes,64
398,336,75,no,75
282,276,62,no,62
286,628,56,yes,56
366,514,94,no,94
366,536,78,no,78
534,306,73,no,73
544,80,44,yes,44
686,272,93,no,93
220,472,65,no,65
104,622,54,no,54
680,252,99,no,99
594,424,99,no,99
636,446,99,no,99
300,132,80,no,80
530,330,88,no,88
390,222,50,yes,50
220,372,70,no,70
714,482,43,yes,43
324,526,84,no,84
100,92,76,no,76
148,106,95,no,95
634,124,49,yes,49
614,132,70,no,70
302,152,92,no,92
226,344,76,no,76
472,132,88,no,88
36,398,76,no,76
114,512,42,no,42
756,580,81,no,81
308,624,60,no,60
216,580,71,no,71
498,298,90,no,90
674,294,64,no,64
484,668,50,yes,50
444,126,46,no,46
480,110,85,no,85
558,578,66,no,66
842,502,99,no,99
762,100,59,no,59
542,556,77,no,77
850,208,66,no,66
378,326,77,no,77
460,422,76,no,76
662,52,28,yes,28
370,44,51,yes,51
244,474,59,no,59
134,88,76,no,76
170,360,64,no,64
562,194,58,no,58
92,274,64,no,64
666,540,50,no,50
728,82,81,no,81
202,20,37,yes,37
736,404,36,yes,36
720,394,53,no,53
742,470,62,no,62
486,434,55,no,55
318,422,47,no,47
150,424,28,no,28
302,284,38,no,38
292,354,30,yes,30
72,202,22,yes,22
454,556,37,yes,37
368,428,30,no,30
364,604,44,no,44
450,146,41,no,41
802,366,43,no,43
292,416,40,no,40
292,648,33,no,33
118,536,30,no,30
26,144,23,yes,23
318,258,39,no,39
554,214,35,no,35
760,614,35,no,35
234,496,38,no,38
202,382,33,no,33
128,628,33,no,33
282,256,27,no,27
80,328,18,yes,18
80,102,39,no,39
264,622,38,no,38
398,598,33,no,33
368,220,30,no,30
246,226,10,yes,10
318,120,38,no,38
650,138,32,no,32
338,398,29,no,29
392,202,33,no,33
