index,x,y,r (pixel),is_circle,r (um),probability
13,406,70,18,yes,18,0.62
84,722,416,40,yes,40,0.5491071428571429
23,224,334,22,yes,22,0.5241935483870968
133,148,540,62,yes,62,0.47988505747126436
45,94,132,29,yes,29,0.4695121951219512
113,500,630,51,yes,51,0.46875
37,596,246,27,yes,27,0.4407894736842105
18,656,348,21,yes,21,0.43103448275862066
121,262,540,54,yes,54,0.42105263157894735
6,468,240,16,yes,16,0.42045454545454547
107,658,536,49,yes,49,0.4166666666666667
44,570,120,28,yes,28,0.41025641025641024
63,580,644,36,yes,36,0.41
4,14,98,14,yes,14,0.40789473684210525
10,772,382,17,yes,17,0.40625
20,324,120,21,yes,21,0.4051724137931034
86,538,188,40,yes,40,0.39732142857142855
87,428,400,40,yes,40,0.39285714285714285
83,178,384,40,yes,40,0.38392857142857145
17,590,336,21,yes,21,0.3793103448275862
16,554,354,20,yes,20,0.375
64,824,646,36,yes,36,0.3741935483870968
132,806,534,62,yes,62,0.37358490566037733
95,628,62,42,yes,42,0.3728813559322034
108,412,498,50,yes,50,0.36428571428571427
123,326,428,55,yes,55,0.36363636363636365
46,618,302,29,yes,29,0.3597560975609756
91,786,238,41,yes,41,0.35964912280701755
56,476,152,33,yes,33,0.358695652173913
24,798,358,22,yes,22,0.3548387096774194
57,74,460,34,no,34,0.3541666666666667
85,808,422,40,yes,40,0.35267857142857145
72,150,180,38,yes,38,0.3490566037735849
73,190,44,38,yes,38,0.3490566037735849
22,248,152,22,no,22,0.3467741935483871
0,480,208,12,yes,12,0.34375
109,390,606,50,yes,50,0.34285714285714286
39,616,196,27,no,27,0.34210526315789475
48,442,194,29,no,29,0.34146341463414637
7,290,342,16,yes,16,0.3409090909090909
74,74,614,38,no,38,0.33962264150943394
99,746,666,45,yes,45,0.3393939393939394
21,150,332,21,yes,21,0.33620689655172414
49,512,96,29,yes,29,0.3353658536585366
59,34,70,34,yes,34,0.3333333333333333
35,794,300,26,no,26,0.3333333333333333
19,196,306,21,yes,21,0.3275862068965517
110,380,170,50,no,50,0.325
11,384,234,17,no,17,0.3229166666666667
53,150,112,32,yes,32,0.32222222222222224
130,546,508,60,yes,60,0.32142857142857145
47,390,324,29,yes,29,0.3170731707317073
138,526,16,70,yes,70,0.314410480349345
70,38,550,37,no,37,0.3125
12,486,476,18,yes,18,0.31
38,776,600,27,yes,27,0.3092105263157895
80,494,428,39,yes,39,0.30454545454545456
31,450,92,24,yes,24,0.30303030303030304
69,232,454,37,yes,37,0.30288461538461536
94,212,220,42,yes,42,0.3008474576271186
8,836,324,16,yes,16,0.2988505747126437
51,52,274,30,yes,30,0.2976190476190476
27,216,110,23,yes,23,0.296875
50,288,258,29,no,29,0.2926829268292683
3,372,112,13,yes,13,0.2916666666666667
15,672,636,19,yes,19,0.28846153846153844
66,248,380,36,yes,36,0.285
29,358,212,23,no,23,0.28125
60,104,310,34,yes,34,0.28125
58,300,198,34,no,34,0.2760416666666667
43,566,288,28,yes,28,0.2692307692307692
1,452,264,12,yes,12,0.265625
26,14,142,22,yes,22,0.26373626373626374
125,690,230,56,yes,56,0.2626582278481013
5,158,288,16,yes,16,0.26136363636363635
9,392,210,17,yes,17,0.2604166666666667
116,276,82,52,yes,52,0.2602739726027397
88,122,252,40,no,40,0.25892857142857145
75,336,256,38,no,38,0.25471698113207547
79,698,598,39,no,39,0.2545454545454545
89,190,368,40,no,40,0.2544642857142857
41,262,312,27,no,27,0.25
77,328,318,38,no,38,0.25
36,92,80,27,no,27,0.24342105263157895
33,440,300,25,yes,25,0.24285714285714285
114,634,434,52,yes,52,0.23972602739726026
54,338,84,32,no,32,0.2388888888888889
40,54,108,27,no,27,0.23684210526315788
71,282,290,37,no,37,0.23076923076923078
117,74,184,52,no,52,0.22945205479452055
34,6,306,25,yes,25,0.2289156626506024
92,706,250,41,no,41,0.22807017543859648
97,356,262,44,no,44,0.22580645161290322
141,224,274,80,no,80,0.22566371681415928
101,486,352,46,no,46,0.2230769230769231
96,498,336,43,no,43,0.22083333333333333
28,346,346,23,no,23,0.21875
115,56,204,52,yes,52,0.21575342465753425
118,644,414,52,no,52,0.21575342465753425
119,324,280,53,no,53,0.21283783783783783
32,420,252,24,yes,24,0.21212121212121213
135,724,108,63,yes,63,0.21067415730337077
65,634,150,36,yes,36,0.21
90,616,382,40,no,40,0.20982142857142858
2,388,270,13,yes,13,0.20833333333333334
129,174,60,59,no,59,0.20783132530120482
134,350,300,62,no,62,0.20689655172413793
137,308,302,70,no,70,0.2066326530612245
131,714,126,60,no,60,0.20535714285714285
82,40,92,39,no,39,0.20454545454545456
52,166,446,31,yes,31,0.20348837209302326
93,568,504,41,no,41,0.20175438596491227
111,718,334,50,yes,50,0.2
136,348,396,65,no,65,0.19505494505494506
67,116,294,36,no,36,0.195
55,392,298,32,no,32,0.19444444444444445
127,696,326,57,no,57,0.19375
76,370,24,38,yes,38,0.1935483870967742
120,730,312,53,no,53,0.1891891891891892
145,660,216,88,no,88,0.1875
104,742,96,48,no,48,0.1865671641791045
