x,y,r (pixel),is_circle,r (um)
114,312,68,yes,68
120,104,57,yes,57
230,136,59,yes,59
388,182,69,yes,69
104,580,56,yes,56
546,456,65,yes,65
570,90,45,yes,45
442,296,58,yes,58
778,312,50,yes,50
308,458,63,yes,63
240,380,42,yes,42
628,632,53,yes,53
626,372,54,yes,54
110,198,44,yes,44
336,312,54,yes,54
436,464,48,yes,48
450,52,78,yes,78
506,162,52,yes,52
644,258,46,yes,46
326,76,54,yes,54
778,480,52,yes,52
796,600,66,yes,66
794,204,59,yes,59
542,256,53,yes,53
352,564,49,yes,49
40,238,37,yes,37
426,680,75,yes,75
638,528,55,yes,55
540,572,53,yes,53
240,300,39,yes,39
226,556,61,yes,61
692,178,46,yes,46
284,224,48,yes,48
444,558,43,yes,43
292,642,41,yes,41
726,390,45,yes,45
600,172,45,yes,45
460,384,37,yes,37
164,394,36,yes,36
720,92,42,yes,42
212,454,36,yes,36
534,348,44,yes,44
40,154,40,yes,40
812,392,40,yes,40
816,94,55,yes,55
382,386,41,yes,41
702,582,32,yes,32
720,246,32,yes,32
196,228,40,yes,40
622,164,55,no,55
686,446,29,yes,29
664,66,24,yes,24
592,4,44,yes,44
696,312,35,yes,35
154,502,34,yes,34
468,42,76,yes,76
610,70,75,no,75
716,520,27,yes,27
328,452,67,no,67
204,36,39,yes,39
458,282,63,no,63
546,662,46,no,46
190,662,52,yes,52
10,324,39,yes,39
406,168,72,no,72
692,4,56,yes,56
54,680,49,yes,49
246,150,69,no,69
560,246,54,no,54
714,648,31,yes,31
646,108,21,yes,21
652,512,59,yes,59
272,16,28,yes,28
482,222,23,yes,23
406,192,48,no,48
790,500,34,no,34
