x,y,r (pixel),is_circle,r (um)
496,254,139,yes,139
316,430,99,yes,99
486,272,151,no,151
104,444,90,yes,90
664,396,82,yes,82
272,68,128,yes,128
474,248,156,no,156
526,504,100,yes,100
194,278,77,yes,77
698,162,68,yes,68
594,56,65,yes,65
516,262,154,no,154
652,642,89,yes,89
438,70,61,yes,61
342,450,131,no,131
532,226,177,no,177
506,496,101,no,101
208,602,82,yes,82
510,214,193,no,193
122,454,110,no,110
296,430,118,no,118
134,142,55,yes,55
760,282,58,yes,58
458,274,171,no,171
326,278,56,yes,56
504,234,119,no,119
670,372,106,no,106
512,476,128,no,128
182,300,100,no,100
82,436,112,no,112
740,498,79,no,79
488,484,122,no,122
218,256,128,no,128
536,484,129,no,129
340,418,118,no,118
690,398,88,no,88
722,180,106,no,106
262,98,96,no,96
348,188,43,yes,43
168,274,80,no,80
812,422,55,yes,55
646,384,95,no,95
714,146,87,no,87
292,54,120,no,120
276,424,111,no,111
460,72,56,no,56
114,422,68,no,68
194,254,77,no,77
760,514,66,no,66
632,638,95,no,95
674,646,89,no,89
490,522,71,no,71
312,408,78,no,78
732,518,57,yes,57
112,142,60,no,60
674,154,61,no,61
310,288,46,no,46
120,162,36,no,36
764,360,27,yes,27
330,400,66,no,66
318,258,37,no,37
