x,y,r (pixel),is_circle,r (um)
468,372,115,yes,115
682,394,113,yes,113
598,216,90,yes,90
768,188,90,yes,90
242,514,188,no,188
704,380,137,no,137
474,350,93,no,93
196,496,187,no,187
492,572,86,no,86
94,78,81,no,81
574,494,189,no,189
658,394,126,no,126
652,20,118,yes,118
662,576,80,yes,80
372,78,176,no,176
164,254,87,yes,87
500,362,114,no,114
214,480,213,no,213
222,502,166,no,166
444,370,129,no,129
738,370,142,no,142
388,128,131,no,131
254,450,233,no,233
376,98,209,no,209
528,558,125,no,125
616,208,85,no,85
498,594,83,no,83
680,430,149,no,149
692,412,80,no,80
578,516,167,no,167
254,530,209,no,209
186,522,205,yes,205
634,242,134,no,134
468,578,112,no,112
640,580,100,no,100
516,350,135,no,135
180,238,78,no,78
604,236,113,no,113
724,406,133,no,133
226,528,193,no,193
632,408,156,no,156
658,430,156,no,156
684,366,126,no,126
516,580,105,no,105
506,384,134,no,134
712,360,121,no,121
666,376,111,no,111
724,384,123,no,123
568,216,113,no,113
240,492,220,no,220
454,346,113,no,113
186,258,69,no,69
262,550,228,no,228
478,390,78,no,78
698,594,102,no,102
670,412,93,no,93
190,476,188,no,188
776,166,69,no,69
744,186,106,no,106
80,96,87,no,87
690,574,84,no,84
500,338,123,no,123
516,536,143,no,143
676,344,134,no,134
646,376,121,no,121
674,22,91,no,91
418,372,123,no,123
608,188,87,no,87
286,530,232,no,232
230,456,187,no,187
436,400,121,no,121
586,242,118,no,118
148,238,112,no,112
506,556,103,no,103
222,434,196,no,196
478,322,103,no,103
794,194,101,no,101
672,596,58,no,58
636,204,98,no,98
474,558,97,no,97
456,388,94,no,94
398,104,144,no,144
490,542,130,no,130
644,560,88,no,88
654,44,72,no,72
572,194,111,no,111
430,352,135,no,135
754,166,91,no,91
668,550,96,no,96
530,596,92,no,92
172,218,56,no,56
174,490,130,no,130
116,70,95,no,95
592,656,35,yes,35
800,166,94,no,94
490,408,73,no,73
596,450,75,no,75
594,498,66,no,66
582,468,70,no,70
482,616,55,no,55
80,62,60,no,60
500,628,50,no,50
690,552,84,no,84
778,206,58,no,58
736,424,50,no,50
684,612,56,no,56
704,430,74,no,74
194,224,78,no,78
568,452,56,no,56
616,494,55,no,55
520,274,40,no,40
632,52,51,no,51
756,206,49,no,49
764,150,48,no,48
578,412,34,no,34
