x,y,r (pixel),is_circle,r (um)
434,286,80,yes,80
94,170,79,yes,79
410,110,99,yes,99
784,418,102,yes,102
222,556,61,yes,61
146,324,84,yes,84
466,450,89,yes,89
564,316,58,yes,58
566,192,77,yes,77
230,84,84,yes,84
668,594,107,yes,107
296,412,80,yes,80
302,216,67,yes,67
700,242,66,yes,66
348,550,67,yes,67
686,118,61,yes,61
802,166,65,yes,65
644,580,133,no,133
620,424,65,yes,65
432,108,108,no,108
794,402,106,no,106
166,454,57,yes,57
168,324,105,no,105
252,84,104,no,104
480,616,77,yes,77
406,88,119,no,119
830,266,43,yes,43
502,622,108,no,108
90,22,72,yes,72
448,272,87,no,87
724,18,48,yes,48
590,184,101,no,101
848,34,80,yes,80
430,264,90,no,90
482,438,94,no,94
36,448,75,yes,75
106,150,88,no,88
606,78,34,yes,34
196,206,42,yes,42
550,174,96,no,96
694,576,80,no,80
814,144,79,no,79
318,416,100,no,100
702,90,79,no,79
582,304,69,no,69
674,334,42,yes,42
540,68,36,yes,36
284,226,60,no,60
588,164,76,no,76
656,38,25,yes,25
114,190,50,no,50
