x,y,r (pixel),is_circle,r (um)
206,182,140,yes,109.2
508,318,197,yes,153.66
382,332,351,no,273.78000000000003
404,350,333,no,259.74
416,378,306,no,238.68
522,302,215,no,167.70000000000002
494,336,220,no,171.6
414,308,315,no,245.70000000000002
384,356,354,no,276.12
448,350,348,no,271.44
448,392,292,no,227.76000000000002
190,162,160,no,124.80000000000001
230,440,142,yes,110.76
536,326,198,no,154.44
478,350,240,no,187.20000000000002
438,296,295,no,230.1
416,398,318,no,248.04000000000002
212,158,157,no,122.46000000000001
642,580,94,yes,73.32000000000001
224,460,120,no,93.60000000000001
436,426,327,no,255.06
426,334,349,no,272.22
460,368,266,no,207.48000000000002
510,374,249,no,194.22
518,336,211,no,164.58
434,368,284,no,221.52
500,394,271,no,211.38
414,632,131,yes,102.18
448,318,366,no,285.48
510,286,236,no,184.08
222,420,144,no,112.32000000000001
624,560,123,no,95.94
592,284,282,no,219.96
480,318,253,no,197.34
462,420,308,no,240.24
170,156,177,no,138.06
414,60,103,yes,80.34
498,356,225,no,175.5
542,274,239,no,186.42000000000002
458,286,285,no,222.3
530,360,228,no,177.84
210,444,138,no,107.64
570,276,275,no,214.5
576,256,255,no,198.9
488,296,245,no,191.1
184,204,163,no,127.14
184,180,148,no,115.44
570,448,234,no,182.52
202,138,136,no,106.08
522,414,269,no,209.82
542,298,204,no,159.12
522,390,262,no,204.36
554,346,199,no,155.22
152,178,177,no,138.06
176,398,205,no,159.9
162,136,198,no,154.44
246,424,163,no,127.14
238,160,158,no,123.24000000000001
574,336,221,no,172.38
482,382,275,no,214.5
192,420,173,no,134.94
226,176,132,no,102.96000000000001
826,194,115,yes,89.7
546,416,280,no,218.4
226,196,118,no,92.04
210,222,178,no,138.84
254,180,178,no,138.84
254,404,178,no,138.84
648,560,114,no,88.92
466,332,239,no,186.42000000000002
410,80,83,no,64.74000000000001
138,200,198,no,154.44
532,248,239,no,186.42000000000002
388,640,156,no,121.68
556,314,182,no,141.96
188,450,160,no,124.80000000000001
154,400,212,no,165.36
676,602,134,no,104.52000000000001
226,396,164,no,127.92
246,452,148,no,115.44
188,376,210,no,163.8
266,432,174,no,135.72
224,138,137,no,106.86
586,238,269,no,209.82
584,312,154,no,120.12
424,612,137,no,106.86
432,590,127,no,99.06
810,210,115,no,89.7
848,206,137,no,106.86
178,234,125,no,97.5
444,624,154,no,120.12
456,264,166,no,129.48000000000002
672,564,120,no,93.60000000000001
612,542,140,no,109.2
178,120,159,no,124.02000000000001
620,582,82,no,63.96
672,536,74,no,57.72
360,644,178,no,138.84
240,212,96,no,74.88
430,48,102,no,79.56
418,568,144,no,112.32000000000001
642,608,115,no,89.7
202,396,150,no,117.0
218,362,146,no,113.88000000000001
614,312,131,no,102.18
146,244,108,no,84.24000000000001
220,262,178,no,138.84
604,336,155,no,120.9
452,564,120,no,93.60000000000001
402,612,116,no,90.48
260,150,98,no,76.44
262,222,74,no,57.72
234,376,124,no,96.72
644,536,100,no,78.0
184,286,151,no,117.78
626,350,131,no,102.18
222,482,100,no,78.0
256,472,96,no,74.88
486,608,75,no,58.5
684,520,62,no,48.36
336,616,67,no,52.260000000000005
592,374,129,no,100.62
430,74,98,no,76.44
836,160,138,no,107.64
410,284,120,no,93.60000000000001
262,200,89,no,69.42
798,174,98,no,76.44
390,254,94,no,73.32000000000001
602,564,56,no,43.68
614,290,119,no,92.82000000000001
640,332,101,no,78.78
454,604,106,no,82.68
408,426,69,no,53.82
456,62,68,no,53.04
250,132,103,no,80.34
368,260,78,no,60.84
30,402,85,no,66.3
638,296,103,no,80.34
366,456,29,no,22.62
208,110,108,no,84.24000000000001
276,464,88,no,68.64
286,420,80,no,62.400000000000006
278,174,69,no,53.82
268,490,76,no,59.28
408,550,83,no,64.74000000000001
284,214,62,no,48.36
654,362,105,no,81.9
404,590,93,no,72.54
296,450,90,no,70.2
358,308,63,no,49.14
382,526,41,no,31.98
774,220,86,no,67.08
390,420,52,no,40.56
390,74,74,no,57.72
476,632,73,no,56.940000000000005
44,380,67,no,52.260000000000005
512,624,59,no,46.02
296,484,58,no,45.24
634,262,85,no,66.3
654,308,81,no,63.18
306,412,59,no,46.02
274,246,51,no,39.78
