x,y,r (pixel),is_circle,r (um)
258,454,39,yes,39
500,416,35,yes,35
504,204,97,no,97
102,170,36,yes,36
394,184,75,no,75
212,300,99,no,99
56,304,39,yes,39
370,168,42,yes,42
806,58,36,yes,36
190,536,41,yes,41
448,288,41,yes,41
736,316,93,no,93
694,374,31,yes,31
800,430,36,yes,36
400,82,33,yes,33
712,320,84,no,84
240,380,37,yes,37
56,62,33,yes,33
134,70,49,yes,49
338,106,28,yes,28
182,192,32,yes,32
484,48,39,yes,39
598,334,42,yes,42
216,250,34,yes,34
516,334,46,yes,46
768,366,33,yes,33
310,380,32,yes,32
586,110,34,yes,34
70,372,32,yes,32
46,564,26,yes,26
114,274,25,yes,25
98,500,54,no,54
140,468,46,no,46
630,176,34,yes,34
328,442,33,yes,33
40,186,29,yes,29
172,132,28,yes,28
204,26,35,yes,35
190,430,34,yes,34
208,88,29,yes,29
226,142,28,yes,28
516,264,26,yes,26
266,66,39,yes,39
338,44,36,yes,36
438,362,50,no,50
194,320,39,yes,39
284,134,32,yes,32
130,402,34,yes,34
124,334,35,yes,35
282,324,32,yes,32
756,94,29,yes,29
778,220,29,yes,29
178,372,20,yes,20
560,212,28,yes,28
708,112,18,yes,18
670,434,33,yes,33
428,212,31,yes,31
702,172,30,yes,30
134,224,28,yes,28
700,60,36,yes,36
96,574,27,yes,27
634,390,24,yes,24
668,124,23,yes,23
306,500,28,yes,28
72,472,17,yes,17
358,186,64,no,64
68,286,42,no,42
268,180,32,no,32
638,276,29,yes,29
274,268,24,yes,24
540,34,26,yes,26
374,234,29,yes,29
82,432,25,yes,25
116,532,23,yes,23
322,260,22,yes,22
506,132,23,yes,23
824,364,19,yes,19
378,308,46,no,46
164,260,30,no,30
380,418,24,yes,24
298,224,23,yes,23
682,262,21,yes,21
824,206,18,yes,18
594,276,18,yes,18
148,54,46,no,46
80,236,35,no,35
750,26,28,yes,28
794,170,25,no,25
674,216,24,yes,24
378,372,21,yes,21
576,392,25,yes,25
52,514,23,yes,23
438,164,22,yes,22
448,104,21,yes,21
424,126,14,yes,14
748,144,18,yes,18
754,182,15,yes,15
542,166,30,no,30
738,408,29,no,29
798,274,22,yes,22
426,30,20,yes,20
330,300,17,yes,17
806,122,28,yes,28
500,184,46,no,46
528,92,24,yes,24
134,312,43,no,43
664,322,29,yes,29
560,284,21,yes,21
734,222,21,yes,21
42,418,18,yes,18
560,70,16,yes,16
200,518,44,no,44
308,184,20,yes,20
142,376,38,no,38
56,450,35,no,35
638,84,20,yes,20
550,424,18,yes,18
196,478,17,yes,17
260,232,15,yes,15
84,106,21,yes,21
606,238,23,yes,23
778,308,19,yes,19
584,448,19,yes,19
480,244,14,yes,14
608,414,14,yes,14
762,266,21,yes,21
62,130,24,yes,24
336,214,16,yes,16
118,120,16,yes,16
348,352,15,yes,15
178,520,39,no,39
404,266,16,yes,16
324,326,12,yes,12
