x,y,r (pixel),is_circle,r (um)
176,228,80,yes,80
456,352,48,yes,48
156,376,83,no,83
316,212,76,no,76
148,80,57,yes,57
250,542,64,yes,64
436,150,61,yes,61
310,430,62,yes,62
126,372,80,no,80
154,612,48,yes,48
244,640,43,yes,43
128,78,68,no,68
294,398,86,no,86
186,208,63,no,63
322,616,53,no,53
406,478,48,yes,48
358,332,54,yes,54
338,96,44,yes,44
66,542,60,yes,60
342,518,34,yes,34
332,190,80,no,80
194,240,99,no,99
238,110,49,yes,49
154,522,44,yes,44
230,542,73,no,73
278,296,38,yes,38
56,290,49,yes,49
432,250,44,yes,44
166,90,78,no,78
144,358,68,no,68
290,418,73,no,73
272,14,62,yes,62
86,640,40,yes,40
108,458,32,yes,32
388,402,28,yes,28
138,388,58,no,58
398,36,56,no,56
256,358,32,yes,32
230,414,29,yes,29
250,296,36,no,36
62,174,61,no,61
200,464,30,yes,30
444,132,43,no,43
216,312,29,yes,29
36,538,41,no,41
160,208,40,no,40
336,598,28,no,28
214,114,36,no,36
458,172,23,no,23
358,310,31,no,31
322,454,30,no,30
466,334,29,no,29
