x,y,r (pixel),is_circle,r (um)
512,426,132,yes,102.96000000000001
210,392,168,yes,131.04
210,370,149,no,116.22
546,100,157,no,122.46000000000001
510,406,120,no,93.60000000000001
250,74,110,yes,85.8
550,130,175,yes,136.5
532,416,120,no,93.60000000000001
230,398,183,no,142.74
232,370,198,no,154.44
260,354,230,no,179.4
486,398,171,no,133.38
186,360,139,no,108.42
520,84,227,no,177.06
242,98,114,no,88.92
218,416,204,no,159.12
212,346,156,no,121.68
194,408,146,no,113.88000000000001
528,110,143,no,111.54
374,210,59,yes,46.02
166,344,190,no,148.20000000000002
564,114,179,no,139.62
188,340,180,no,140.4
574,92,180,no,140.4
476,378,153,no,119.34
240,416,203,no,158.34
234,348,121,no,94.38000000000001
272,72,153,no,119.34
528,394,98,no,76.44
286,50,178,no,138.84
526,148,147,no,114.66000000000001
182,320,189,no,147.42000000000002
568,140,154,no,120.12
252,380,180,no,140.4
180,392,190,no,148.20000000000002
494,76,212,no,165.36
226,308,203,no,158.34
240,326,164,no,127.92
512,380,140,no,109.2
550,406,100,no,78.0
578,162,134,no,104.52000000000001
162,370,194,no,151.32
366,192,40,no,31.200000000000003
230,78,92,no,71.76
490,418,119,no,92.82000000000001
530,438,112,no,87.36
270,328,156,no,121.68
158,322,93,no,72.54
262,90,93,no,72.54
514,166,88,no,68.64
452,368,60,no,46.800000000000004
