x,y,r (pixel),is_circle,r (um)
726,152,62,yes,62
720,474,56,yes,56
794,576,55,yes,55
84,592,54,yes,54
448,184,53,yes,53
546,602,58,yes,58
312,390,54,yes,54
222,622,87,no,87
458,290,50,yes,50
556,132,46,yes,46
658,562,43,yes,43
328,214,67,yes,67
226,74,50,yes,50
204,610,64,yes,64
118,286,52,yes,52
368,306,39,yes,39
156,522,37,yes,37
658,72,44,yes,44
134,366,30,yes,30
226,270,54,yes,54
504,476,49,yes,49
190,162,42,yes,42
470,94,40,yes,40
764,298,47,yes,47
314,498,42,yes,42
744,380,30,yes,30
136,452,29,yes,29
528,52,32,yes,32
628,138,31,yes,31
814,84,44,yes,44
634,280,62,yes,62
428,386,46,yes,46
96,160,57,yes,57
204,410,36,yes,36
614,452,36,yes,36
242,482,32,yes,32
410,582,96,no,96
542,320,30,yes,30
124,68,37,yes,37
798,212,26,yes,26
526,196,30,yes,30
706,648,42,yes,42
532,254,32,yes,32
588,524,25,yes,25
744,70,24,yes,24
294,112,37,yes,37
94,508,28,yes,28
630,378,30,yes,30
472,24,23,yes,23
298,294,31,yes,31
586,50,32,yes,32
386,446,28,yes,28
434,484,24,yes,24
258,162,27,yes,27
658,188,23,yes,23
568,150,68,no,68
464,648,36,no,36
556,416,23,yes,23
268,540,33,no,33
590,200,25,yes,25
306,580,28,yes,28
408,240,21,yes,21
562,614,42,no,42
508,398,27,yes,27
172,216,25,yes,25
572,372,24,yes,24
468,522,19,yes,19
286,642,23,yes,23
134,644,23,yes,23
418,118,16,yes,16
484,568,24,yes,24
82,92,19,yes,19
770,34,18,yes,18
244,330,25,yes,25
38,304,26,yes,26
