x,y,r (pixel),is_circle,r (um)
492,116,115,yes,115
562,340,94,yes,94
280,504,62,yes,62
742,418,106,yes,106
746,580,68,yes,68
142,428,77,yes,77
150,586,68,yes,68
512,492,54,yes,54
256,318,77,yes,77
394,568,66,yes,66
400,424,78,yes,78
174,208,67,yes,67
762,404,100,no,100
220,96,54,yes,54
634,522,60,yes,60
72,286,56,yes,56
396,282,67,yes,67
576,324,115,no,115
528,636,82,yes,82
244,204,135,no,135
544,350,115,no,115
128,24,67,yes,67
760,428,76,no,76
64,142,65,yes,65
580,360,140,no,140
504,136,134,no,134
234,330,140,no,140
678,536,118,no,118
126,442,108,no,108
302,188,65,yes,65
526,152,161,no,161
540,328,132,no,132
708,254,53,yes,53
470,110,144,no,144
272,306,78,no,78
650,630,46,yes,46
502,88,144,no,144
640,158,53,yes,53
536,308,151,no,151
258,512,84,no,84
600,304,146,no,146
552,648,110,no,110
246,86,82,no,82
198,208,90,no,90
424,426,102,no,102
300,506,103,no,103
646,544,94,no,94
370,568,87,no,87
128,578,76,no,76
492,484,73,no,73
62,122,100,no,100
416,280,68,no,68
408,552,68,no,68
412,584,82,no,82
384,440,87,no,87
150,410,98,no,98
686,248,76,no,76
592,336,115,no,115
760,564,70,no,70
306,616,44,yes,44
478,136,113,no,113
732,238,72,no,72
270,348,95,no,95
404,404,76,no,76
300,308,75,no,75
320,588,74,no,74
312,168,70,no,70
16,536,68,yes,68
254,288,103,no,103
494,504,70,no,70
612,532,76,no,76
290,628,56,no,56
670,508,92,no,92
558,316,76,no,76
394,536,85,no,85
318,6,62,yes,62
218,680,41,no,41
196,182,71,no,71
80,266,76,no,76
390,610,74,no,74
790,118,106,no,106
182,576,68,no,68
656,18,50,yes,50
848,270,64,yes,64
778,98,60,no,60
98,254,53,no,53
668,610,44,no,44
222,218,70,no,70
66,606,30,yes,30
426,542,59,no,59
160,564,44,no,44
402,262,41,no,41
276,482,46,no,46
618,506,49,no,49
662,144,49,no,49
354,342,28,yes,28
734,560,65,no,65
154,446,55,no,55
420,522,54,no,54
426,564,58,no,58
228,502,53,no,53
382,300,30,no,30
372,640,27,yes,27
524,476,49,no,49
324,190,47,no,47
346,94,37,yes,37
146,38,39,unmarked,39
274,284,44,no,44
780,416,69,no,69
168,188,45,no,45
728,590,29,no,29
