x,y,r (pixel),is_circle,r (um)
620,386,130,yes,130
186,458,116,yes,116
372,280,107,yes,107
392,58,86,yes,86
592,116,97,yes,97
554,604,85,yes,85
778,122,72,yes,72
120,64,87,yes,87
554,456,226,no,226
408,482,82,yes,82
342,262,142,no,142
600,376,150,no,150
168,442,140,no,140
206,458,132,no,132
580,434,237,no,237
596,408,178,no,178
618,408,170,no,170
644,400,156,no,156
276,496,188,no,188
208,432,148,no,148
180,226,69,yes,69
384,248,164,no,164
402,270,136,no,136
392,290,126,no,126
228,450,138,no,138
312,240,179,no,179
410,240,138,no,138
816,624,143,yes,143
620,366,130,no,130
372,230,178,no,178
166,512,171,no,171
140,418,177,no,177
160,478,147,no,147
650,380,161,no,161
572,116,125,no,125
244,492,170,no,170
274,472,181,no,181
258,456,159,no,159
424,202,201,no,201
426,266,140,no,140
22,630,98,yes,98
278,136,46,yes,46
188,432,160,no,160
202,484,133,no,133
402,514,141,no,141
400,222,148,no,148
574,136,125,no,125
612,120,104,no,104
232,470,154,no,154
374,210,177,no,177
360,256,131,no,131
360,298,156,no,156
234,428,140,no,140
424,506,127,no,127
258,430,164,no,164
438,466,94,no,94
334,234,166,no,166
210,412,142,no,142
458,510,174,no,174
340,614,77,no,77
334,282,160,no,160
148,456,153,no,153
586,568,116,no,116
664,340,180,no,180
642,358,162,no,162
664,360,169,no,169
382,504,114,no,114
568,586,108,no,108
604,140,123,no,123
366,484,118,no,118
182,478,150,no,150
234,406,110,no,110
546,584,91,no,91
6,456,56,yes,56
664,404,145,no,145
190,406,136,no,136
804,602,118,no,118
212,388,154,no,154
348,316,153,no,153
430,240,126,no,126
582,548,135,no,135
630,130,126,no,126
790,104,104,no,104
608,100,101,no,101
202,232,85,no,85
228,676,87,yes,87
522,232,41,yes,41
554,126,135,no,135
388,466,108,no,108
562,96,129,no,129
162,288,75,no,75
836,640,169,no,169
108,82,83,no,83
256,26,41,yes,41
442,490,103,no,103
344,594,70,no,70
602,356,95,no,95
590,588,104,no,104
174,256,46,no,46
636,80,145,no,145
622,344,111,no,111
144,76,102,no,102
574,604,79,no,79
176,36,120,no,120
422,526,113,no,113
260,128,65,no,65
416,460,88,no,88
362,620,54,yes,54
648,294,132,no,132
568,376,111,no,111
136,50,89,no,89
260,150,76,no,76
142,438,61,no,61
254,408,114,no,114
536,618,64,no,64
370,64,64,no,64
322,598,52,no,52
280,168,88,no,88
214,660,67,no,67
402,40,89,no,89
150,262,58,no,58
104,320,48,yes,48
242,316,46,no,46
284,116,56,no,56
266,516,79,no,79
306,124,68,no,68
184,202,57,no,57
404,80,78,no,78
562,624,62,no,62
468,170,29,yes,29
616,458,17,yes,17
262,388,73,no,73
558,396,68,no,68
420,622,38,no,38
788,144,78,no,78
240,370,74,no,74
732,240,69,no,69
154,332,31,no,31
582,392,92,no,92
260,290,58,no,58
438,610,47,no,47
242,280,45,no,45
196,260,37,no,37
298,146,58,no,58
762,106,51,no,51
764,138,63,no,63
360,558,58,no,58
186,170,75,no,75
188,280,46,no,46
506,490,40,no,40
164,208,45,no,45
730,208,54,no,54
404,582,46,no,46
416,54,61,no,61
524,636,41,no,41
114,350,40,no,40
92,94,45,no,45
254,222,42,no,42
214,310,31,no,31
194,314,16,yes,16
290,546,41,no,41
98,366,42,no,42
142,316,36,no,36
232,202,33,no,33
576,414,64,no,64
178,384,50,no,50
510,618,34,no,34
282,604,25,no,25
320,316,43,no,43
