x,y,r (pixel),is_circle,r (um)
542,438,206,yes,206
180,538,125,yes,125
274,260,116,yes,116
564,438,225,no,225
524,404,243,no,243
536,458,196,no,196
512,462,221,no,221
590,434,249,no,249
666,112,119,yes,119
522,430,201,no,201
250,246,142,no,142
542,416,224,no,224
502,442,241,no,241
572,420,240,no,240
546,392,245,no,245
184,516,116,no,116
554,470,200,no,200
160,522,148,no,148
528,484,223,no,223
492,468,226,no,226
646,108,140,no,140
600,462,222,no,222
574,472,211,no,211
672,146,145,no,145
462,162,53,yes,53
832,308,123,yes,123
508,494,243,no,243
734,636,85,yes,85
332,258,212,no,212
288,244,169,no,169
110,76,95,yes,95
572,400,215,no,215
202,554,156,no,156
642,142,153,no,153
620,150,174,no,174
158,562,157,no,157
160,542,151,no,151
268,234,94,no,94
678,88,177,no,177
254,202,201,no,201
294,268,170,no,170
300,290,155,no,155
838,288,144,no,144
126,88,76,no,76
170,502,162,no,162
658,130,127,no,127
686,124,142,no,142
582,452,160,no,160
630,126,150,no,150
274,282,139,no,139
704,112,138,no,138
204,506,116,no,116
254,268,127,no,127
204,530,130,no,130
140,72,129,no,129
224,560,177,no,177
590,390,116,no,116
140,104,106,no,106
604,416,147,no,147
366,66,23,no,23
244,226,120,no,120
746,618,65,no,65
502,86,62,no,62
110,54,51,no,51
288,338,15,no,15
310,246,80,no,80
630,90,79,no,79
708,142,107,no,107
702,630,53,no,53
158,92,45,no,45
142,124,72,no,72
428,90,31,no,31
488,56,34,no,34
480,180,50,no,50
298,222,75,no,75
