x,y,r (pixel),is_circle,r (um)
472,160,90,no,90
220,212,76,yes,76
436,298,74,yes,74
360,58,80,yes,80
130,304,57,yes,57
548,380,66,yes,66
494,152,70,yes,70
774,320,65,yes,65
122,92,60,yes,60
686,604,72,no,72
634,496,64,yes,64
90,200,56,yes,56
392,536,68,no,68
636,166,61,yes,61
250,624,62,yes,62
146,426,70,yes,70
252,480,52,yes,52
732,218,51,yes,51
520,490,53,yes,53
438,424,62,yes,62
738,432,59,yes,59
664,296,53,yes,53
160,542,59,yes,59
126,404,96,no,96
562,398,90,no,90
344,220,52,yes,52
232,82,54,yes,54
580,370,80,no,80
172,430,95,no,95
368,534,80,no,80
732,56,32,yes,32
196,218,97,no,97
804,164,42,yes,42
108,284,85,no,85
720,592,73,no,73
546,262,72,no,72
356,634,51,yes,51
800,604,44,yes,44
682,286,74,no,74
316,402,62,no,62
480,32,44,yes,44
652,180,82,no,82
460,294,70,no,70
654,46,57,yes,57
416,532,69,no,69
576,264,71,no,71
10,284,62,yes,62
802,88,33,yes,33
240,210,70,no,70
336,406,73,no,73
340,306,34,yes,34
400,510,90,no,90
270,622,83,no,83
168,410,71,no,71
568,570,44,yes,44
754,444,70,no,70
138,650,53,yes,53
372,514,76,no,76
18,414,62,yes,62
720,130,61,no,61
186,544,78,no,78
290,294,53,no,53
468,136,90,no,90
556,26,32,yes,32
712,624,42,no,42
458,420,62,no,62
482,568,42,yes,42
340,54,96,no,96
538,350,84,no,84
2,82,61,yes,61
54,538,56,yes,56
640,472,70,no,70
74,188,69,no,69
34,542,70,yes,70
338,200,63,no,63
780,508,35,yes,35
794,328,70,no,70
490,172,57,no,57
380,60,60,no,60
718,434,58,no,58
562,360,68,no,68
452,314,53,no,53
712,224,52,no,52
158,446,46,no,46
368,214,52,no,52
378,628,55,no,55
714,350,29,yes,29
580,674,57,no,57
262,302,44,no,44
788,304,62,no,62
384,146,32,yes,32
654,488,68,no,68
748,120,46,no,46
216,352,40,no,40
646,312,56,no,56
90,316,48,no,48
86,350,31,no,31
148,316,36,no,36
642,382,33,no,33
660,370,42,no,42
710,512,27,yes,27
258,604,41,no,41
420,602,25,yes,25
310,538,33,no,33
674,38,31,no,31
528,620,22,yes,22
514,142,46,no,46
534,520,41,no,41
200,402,38,no,38
612,164,51,no,51
784,98,38,no,38
594,244,32,no,32
60,608,20,no,20
392,36,42,no,42
224,406,17,yes,17
324,424,29,no,29
666,152,31,no,31
480,648,28,no,28
698,94,20,no,20
528,470,34,no,34
198,196,31,no,31
506,560,29,no,29
148,100,27,no,27
52,408,26,no,26
280,348,14,yes,14
602,316,16,yes,16
348,390,28,no,28
154,296,20,no,20
