index,x,y,r (pixel),is_circle,r (um),probability
0,82,108,15,yes,15,0.6071428571428571
3,528,392,25,yes,25,0.45714285714285713
5,500,538,49,yes,49,0.40217391304347827
8,818,320,97,yes,97,0.36070381231671556
1,462,420,17,yes,17,0.2708333333333333
2,522,442,22,yes,22,0.23387096774193547
6,654,476,87,no,87,0.20528455284552846
37,274,438,192,yes,192,0.19464944649446494
4,470,390,25,yes,25,0.18571428571428572
12,636,462,109,yes,109,0.18181818181818182
9,542,248,102,yes,102,0.1597222222222222
15,646,442,121,no,121,0.15350877192982457
28,602,504,157,no,157,0.14301801801801803
23,502,288,150,no,150,0.12735849056603774
17,618,482,130,no,130,0.12704918032786885
20,642,420,142,no,142,0.125
44,242,482,237,no,237,0.12283894449499545
10,518,244,103,no,103,0.12241379310344827
40,250,460,223,no,223,0.11507936507936507
36,290,424,184,no,184,0.11346153846153846
35,356,20,179,yes,179,0.11151736745886655
38,250,432,216,no,216,0.11065573770491803
30,352,42,158,no,158,0.09981167608286252
41,284,474,227,no,227,0.09723461195361284
7,520,224,92,no,92,0.09615384615384616
27,566,242,155,no,155,0.09474885844748858
13,832,300,117,no,117,0.08943089430894309
16,664,452,123,no,123,0.08670520231213873
32,484,238,161,no,161,0.08259911894273128
24,586,274,153,no,153,0.08217592592592593
18,562,270,130,no,130,0.08196721311475409
14,518,264,120,no,120,0.08136094674556213
22,584,462,147,no,147,0.08091787439613526
29,688,470,157,no,157,0.07995495495495496
26,662,498,154,no,154,0.07834101382488479
33,282,406,165,no,165,0.07618025751072961
34,264,418,169,no,169,0.07322175732217573
25,616,440,154,no,154,0.07258064516129033
11,534,282,105,no,105,0.07094594594594594
45,228,412,244,no,244,0.0685383980181668
21,326,444,145,no,145,0.06585365853658537
43,294,450,233,no,233,0.05547112462006079
39,314,462,221,no,221,0.047275641025641024
31,312,426,158,no,158,0.04484304932735426
42,250,398,232,no,232,0.04344512195121951
19,562,218,136,no,136,0.03125
