x,y,r (pixel),is_circle,r (um)
592,566,94,yes,141.94
228,172,84,yes,126.84
166,338,75,yes,113.25
652,358,98,yes,147.98
320,440,84,yes,126.84
418,112,91,yes,137.41
82,218,55,yes,83.05
738,134,84,yes,126.84
458,300,78,yes,117.78
606,54,46,yes,69.46
414,578,62,yes,93.62
162,488,59,yes,89.09
586,182,71,yes,107.21
318,462,107,no,161.57
64,602,72,yes,108.72
256,638,94,yes,141.94
776,530,84,yes,126.84
12,432,82,yes,123.82000000000001
652,384,124,no,187.24
772,250,47,yes,70.97
300,300,59,yes,89.09
566,178,86,no,129.86
604,582,116,no,175.16
668,370,116,no,175.16
436,126,114,no,172.14000000000001
228,192,104,no,157.04
398,110,107,no,161.57
262,618,74,no,111.74
478,450,64,yes,96.64
100,6,76,yes,114.76
628,354,116,no,175.16
270,4,70,yes,105.7
472,316,105,no,158.55
242,156,104,no,157.04
750,112,92,no,138.92
580,540,113,no,170.63
450,320,81,no,122.31
248,192,113,no,170.63
610,546,121,no,182.71
194,164,114,no,172.14000000000001
566,560,112,no,169.12
408,132,121,no,182.71
180,356,97,no,146.47
674,332,109,no,164.59
344,460,106,no,160.06
722,122,84,no,126.84
366,226,43,yes,64.93
182,324,97,no,146.47
282,638,116,no,175.16
478,284,102,no,154.02
240,622,94,no,141.94
144,350,122,no,184.22
638,336,116,no,175.16
578,202,97,no,146.47
780,506,70,no,105.7
46,614,103,no,155.53
74,624,94,no,141.94
336,426,88,no,132.88
428,594,82,no,123.82000000000001
276,604,80,no,120.8
430,558,75,no,113.25
430,304,108,no,163.08
298,438,105,no,158.55
306,420,108,no,163.08
426,94,92,no,138.92
456,452,86,no,129.86
752,514,89,no,134.39000000000001
180,468,84,no,126.84
528,106,27,yes,40.77
598,162,82,no,123.82000000000001
218,146,58,no,87.58
454,136,76,no,114.76
494,438,44,no,66.44
450,280,57,no,86.07000000000001
290,472,50,no,75.5
80,584,48,no,72.48
392,164,40,no,60.4
282,290,50,no,75.5
6,128,50,no,75.5
620,600,41,no,61.910000000000004
