x,y,r (pixel),is_circle,r (um)
352,354,100,yes,100
204,240,68,yes,68
256,72,82,yes,82
722,562,66,yes,66
658,414,93,yes,93
686,216,84,yes,84
576,120,62,yes,62
446,12,96,yes,96
426,494,47,yes,47
666,396,73,no,73
330,188,52,yes,52
458,198,74,yes,74
568,290,56,yes,56
186,464,39,yes,39
336,378,128,no,128
504,414,66,yes,66
330,548,47,yes,47
680,74,50,yes,50
566,516,49,yes,49
682,408,93,no,93
668,208,101,no,101
128,124,62,yes,62
192,368,47,yes,47
700,200,90,no,90
804,96,62,yes,62
548,656,78,yes,78
6,298,78,yes,78
756,316,41,yes,41
624,580,30,yes,30
708,586,100,no,100
192,256,88,no,88
374,356,111,no,111
352,326,73,no,73
100,218,32,yes,32
582,100,84,no,84
372,380,116,no,116
278,74,83,no,83
120,298,29,yes,29
16,278,78,no,78
766,462,40,yes,40
274,476,39,yes,39
480,194,101,no,101
486,560,34,yes,34
526,390,79,no,79
430,26,95,no,95
604,114,66,no,66
468,304,36,yes,36
226,244,79,no,79
152,132,71,no,71
132,104,34,no,34
268,56,85,no,85
786,642,37,yes,37
208,218,47,no,47
546,636,50,no,50
650,502,25,yes,25
844,238,76,yes,76
688,54,48,no,48
462,178,53,no,53
718,540,43,no,43
478,216,48,no,48
20,154,46,yes,46
340,170,38,no,38
738,548,53,no,53
502,388,46,no,46
658,374,51,no,51
526,424,36,no,36
568,268,37,no,37
