index,x,y,r (pixel),is_circle,r (um),probability
36,436,338,54,yes,54,0.6348684210526315
39,612,392,61,yes,61,0.561046511627907
18,424,246,41,yes,41,0.4868421052631579
33,332,260,52,yes,52,0.476027397260274
8,246,492,29,yes,29,0.47560975609756095
21,484,192,41,yes,41,0.4692982456140351
43,224,354,65,yes,65,0.46703296703296704
35,348,456,53,yes,53,0.46283783783783783
4,774,656,24,yes,24,0.45454545454545453
9,518,592,30,yes,30,0.42857142857142855
12,24,232,37,yes,37,0.41830065359477125
31,450,470,51,yes,51,0.4131944444444444
10,540,538,33,yes,33,0.40217391304347827
34,166,492,52,yes,52,0.3972602739726027
1,128,28,17,yes,17,0.3958333333333333
19,542,254,41,yes,41,0.3815789473684211
17,228,236,39,yes,39,0.35909090909090907
23,714,416,44,yes,44,0.35080645161290325
3,20,82,20,yes,20,0.3482142857142857
2,632,584,20,yes,20,0.3482142857142857
30,104,660,50,yes,50,0.34554973821989526
14,120,338,38,yes,38,0.330188679245283
28,128,194,47,yes,47,0.32575757575757575
7,164,274,29,yes,29,0.3231707317073171
5,656,626,28,yes,28,0.32051282051282054
6,168,64,29,yes,29,0.3170731707317073
11,258,146,35,yes,35,0.30612244897959184
16,186,130,39,yes,39,0.30454545454545456
38,386,100,59,yes,59,0.29819277108433734
27,336,358,47,yes,47,0.2878787878787879
32,274,586,52,yes,52,0.2842465753424658
29,176,596,50,yes,50,0.2785714285714286
25,74,80,45,yes,45,0.2619047619047619
20,636,64,41,yes,41,0.24561403508771928
37,296,28,58,yes,58,0.24434389140271492
26,628,274,46,yes,46,0.23076923076923078
15,528,338,39,yes,39,0.19090909090909092
24,698,328,45,yes,45,0.17857142857142858
40,400,546,61,no,61,0.16279069767441862
41,386,562,62,yes,62,0.15517241379310345
42,242,338,64,no,64,0.1527777777777778
22,600,374,42,no,42,0.13559322033898305
0,586,26,14,yes,14,0.05263157894736842
13,406,568,37,no,37,0.04326923076923077
