x,y,r (pixel),is_circle,r (um)
412,186,157,yes,157
646,582,146,yes,146
800,330,110,yes,110
392,192,198,no,198
382,210,218,no,218
590,336,75,yes,75
182,560,120,yes,120
408,454,90,yes,90
246,366,71,yes,71
134,164,79,yes,79
458,266,240,no,240
680,26,130,yes,130
464,210,209,no,209
440,166,191,no,191
366,224,240,no,240
416,206,168,no,168
438,234,233,no,233
616,190,56,yes,56
200,544,139,no,139
416,156,189,no,189
470,240,230,no,230
20,410,91,yes,91
444,202,189,no,189
646,560,129,no,129
396,166,183,no,183
486,224,223,no,223
396,226,192,no,192
460,176,175,no,175
114,150,111,no,111
388,464,125,no,125
216,556,149,no,149
606,350,107,no,107
624,368,132,no,132
432,186,154,no,154
618,600,178,no,178
218,534,158,no,158
624,328,87,no,87
426,658,63,yes,63
426,436,135,no,135
228,6,76,yes,76
426,138,134,no,134
450,450,108,no,108
688,48,93,no,93
670,578,171,no,171
626,578,164,no,164
368,474,147,no,147
434,466,115,no,115
188,524,123,no,123
166,180,138,no,138
152,568,124,no,124
398,482,122,no,122
702,12,116,no,116
172,578,102,no,102
150,140,107,no,107
460,156,155,no,155
576,350,94,no,94
790,312,92,no,92
126,298,47,yes,47
396,424,149,no,149
664,606,209,no,209
130,136,118,no,118
630,306,100,no,100
726,182,57,no,57
2,420,122,no,122
382,442,117,no,117
438,416,138,no,138
172,142,92,no,92
604,316,86,no,86
646,320,117,no,117
602,618,190,no,190
652,22,144,no,144
174,542,131,no,131
186,192,128,no,128
160,122,107,no,107
416,476,114,no,114
830,142,80,yes,80
378,414,140,no,140
398,140,113,no,113
330,578,39,yes,39
570,328,97,no,97
664,38,109,no,109
800,286,154,no,154
460,430,106,no,106
170,512,136,no,136
42,252,38,yes,38
452,138,158,no,158
700,32,114,no,114
118,174,59,no,59
726,18,139,no,139
148,298,80,no,80
504,398,54,no,54
158,158,84,no,84
268,368,79,no,79
46,10,71,yes,71
628,174,70,no,70
244,346,55,no,55
282,670,47,yes,47
228,380,80,no,80
284,352,90,no,90
514,418,65,no,65
482,440,83,no,83
814,130,48,no,48
624,210,44,no,44
458,116,97,no,97
736,164,58,no,58
66,246,46,no,46
384,122,89,no,89
676,70,69,no,69
836,122,69,no,69
224,356,46,no,46
502,376,33,no,33
220,30,51,no,51
676,270,43,no,43
132,280,53,no,53
250,396,52,no,52
242,26,52,no,52
478,132,72,no,72
146,588,77,no,77
124,194,48,no,48
